QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MAJAPPLY,MAJA_PLY,GFTC_MAJ,GFTC0MAJ,MAJ_MO,MAJ_MO_,MAJPURX,MAJPURX_,MAJRENTX,MAJR_NTX,MAJINSTX,MAJI_STX,MJAPPL1,MJAPPL1_,MJAPPL2,MJAPPL2_,MJAPPL3,MJAPPL3_,MJAPPL4,MJAPPL4_,MJAPPL5,MJAPPL5_,MJAPPL6,MJAPPL6_,MJAPPL7,MJAPPL7_,MJAPPL8,MJAPPL8_,MJAPPL9,APAPURCH,MJAPPL9_
20232,05090604,1,0,1,195,D,1,D,02,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20232,05091124,1,0,2,100,D,1,D,01,D,53,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20232,05091624,1,0,1,220,D,1,D,02,D,,H,,A,,H,160,D,140,D,,A,,A,,A,,A,,A,,A,,2,A
20232,05091624,1,1,1,160,D,1,D,02,D,1854,E,,A,75,E,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20232,05091624,1,2,1,140,D,1,D,02,D,1945,E,,A,25,E,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20232,05091654,1,0,1,195,D,1,D,02,D,1500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20232,05091814,1,0,1,120,D,1,D,01,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20232,05092264,1,0,1,170,D,1,D,02,D,260,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20232,05092274,1,0,1,140,D,1,D,03,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20232,05095154,1,0,1,195,D,1,D,01,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20232,05095154,2,0,1,140,D,1,D,01,D,250,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20232,05095154,3,0,1,140,D,1,D,02,D,200,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
