QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CLOTHYD,CLOTHYD_,CLSVGFTC,CLSV_FTC,CLOTHMOD,CLOT_MOD,CLSRVCX,CLSRVCX_,CLOTHD1,CLOTHD1_,CLOTHD2,CLOTHD2_,CLOTHD3,CLOTHD3_,CLOTHD4,CLOTHD4_,CLOTHD5,CLOTHD5_,CLOTHD6,CLOTHD6_,CLOTHD7,CLOTHD7_,CLOTHD8,CLOTHD8_,CLOTHD9,CLOTHD9_,CLDPURCH
20232,05091814,3,0,1,380,D,1,D,03,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05091814,4,0,1,380,D,1,D,02,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05091844,3,0,1,460,D,1,D,03,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05092234,2,0,1,370,D,1,D,01,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20232,05092264,5,0,1,370,D,1,D,01,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05092264,6,0,1,370,D,1,D,02,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05092264,7,0,1,370,D,1,D,03,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05092404,3,0,1,470,D,1,D,03,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05092804,1,0,1,380,D,1,D,03,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05093064,2,0,1,370,D,1,D,03,D,550,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05093114,3,0,1,460,D,1,D,01,D,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05093114,4,0,1,470,D,1,D,03,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05093204,6,0,1,380,D,1,D,03,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,1
20232,05093704,1,0,1,470,D,1,D,03,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05093884,10,0,1,480,D,1,D,01,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05094134,4,0,1,470,D,1,D,03,D,165,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20232,05094904,2,0,1,480,D,1,D,01,D,199,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05095144,2,0,1,490,D,1,D,01,D,69,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05095324,1,0,1,120,D,1,D,01,D,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05095634,1,0,1,460,D,1,D,03,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05096174,5,0,1,380,D,1,D,03,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05096274,1,0,1,470,D,1,D,01,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05096274,2,0,2,370,D,1,D,01,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05096564,1,0,1,380,D,1,D,03,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20232,05096574,1,0,1,380,D,1,D,03,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05096574,2,0,1,460,D,1,D,03,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05096724,1,0,1,460,D,1,D,02,D,115,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05096944,1,0,1,480,D,1,D,03,D,265,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05097274,1,0,1,380,D,1,D,02,D,430,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05097274,2,0,1,470,D,1,D,03,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05097694,2,0,2,370,D,1,D,01,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05097794,1,0,1,480,D,1,D,01,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05097794,2,0,2,480,D,1,D,01,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05097934,4,0,1,380,D,1,D,02,D,3500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05098524,2,0,1,450,D,1,D,01,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05098524,3,0,1,450,D,1,D,02,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05098524,4,0,1,450,D,1,D,03,D,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05099614,1,0,1,370,D,1,D,01,D,243,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05099874,3,0,1,370,D,1,D,03,D,72,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05099874,4,0,1,370,D,1,D,01,D,145,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05100054,2,0,1,380,D,1,D,03,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05101504,4,0,1,380,D,1,D,02,D,73,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05101664,2,0,1,380,D,2,D,02,D,73,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05101894,1,0,1,380,D,1,D,01,D,4000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05102564,7,0,1,370,D,1,D,04,D,280,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05102564,8,0,2,380,D,1,D,03,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05103224,1,0,2,470,D,2,D,03,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05103564,1,0,1,380,D,1,D,05,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,1
20232,05103574,1,0,1,450,D,1,D,04,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05103914,1,0,1,460,D,1,D,04,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05104044,3,0,1,450,D,1,D,05,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05104044,4,0,2,120,D,1,D,03,D,231,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05104134,1,0,1,450,D,1,D,05,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20232,05104534,1,0,1,380,D,1,D,05,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05104774,3,0,1,370,D,1,D,04,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05105084,2,0,1,380,D,1,D,05,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05105804,7,0,1,470,D,1,D,05,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05105944,4,0,1,380,D,1,D,05,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05106314,1,0,1,380,D,1,D,05,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05107454,4,0,1,380,D,1,D,05,D,141,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05107464,5,0,1,120,D,1,D,03,D,750,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,1
20232,05107924,3,0,1,120,D,1,D,05,D,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05107924,4,0,1,450,D,1,D,05,D,28,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05108264,5,0,1,450,D,1,D,04,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05108264,6,0,2,450,D,1,D,03,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05108294,6,0,1,380,D,1,D,05,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05108334,1,0,1,380,D,2,D,03,D,140,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05108664,2,0,1,450,D,1,D,03,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05109114,4,0,1,380,D,2,D,05,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05109374,3,0,1,470,D,1,D,05,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20232,05109484,2,0,1,370,D,1,D,05,D,52,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05109634,2,0,1,120,D,1,D,04,D,1284,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05109734,5,0,1,380,D,1,D,03,D,52,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05110674,5,0,1,460,D,1,D,05,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,1
20232,05110734,2,0,1,120,D,1,D,05,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05111924,5,0,1,380,D,2,D,04,D,91,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05111924,6,0,2,380,D,2,D,03,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05112194,5,0,1,380,D,1,D,04,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05112374,3,0,1,380,D,1,D,04,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05112834,3,0,1,370,D,1,D,03,D,285,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05113134,1,0,1,450,D,1,D,03,D,24,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20232,05114164,1,0,1,470,D,1,D,02,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05114254,3,0,1,370,D,1,D,03,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05114344,1,0,1,120,D,1,D,03,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05115664,2,0,2,380,D,1,D,02,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,1
20232,05116034,1,0,1,380,D,1,D,04,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05116304,3,0,1,380,D,1,D,04,D,140,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05116434,1,0,1,460,D,1,D,02,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20232,05116674,5,0,1,490,D,1,D,02,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20232,05116674,6,0,1,490,D,1,D,03,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20232,05116674,7,0,1,490,D,1,D,04,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20232,05116804,2,0,1,480,D,2,D,04,D,108,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
