NEWID,SEQNO,ALCNO,ADLTCLOX,ADLT_LOX,CHLDCLOX,CHLD_LOX,CLOGFTX,CLOGFTX_,QYEAR,REC_STAT
05090604,2,0,0,D,,A,0,D,20232,1
05090624,1,0,0,D,,A,0,D,20232,1
05090634,1,0,300,D,,A,0,D,20232,1
05090664,1,0,0,D,,A,0,D,20232,1
05090674,3,0,200,D,,A,0,D,20232,1
05090694,2,0,150,D,300,D,0,D,20232,1
05090704,1,0,0,D,,A,0,D,20232,1
05090724,2,0,150,D,,A,0,D,20232,1
05090764,2,0,0,D,,A,0,D,20232,1
05090784,5,0,375,D,,A,0,D,20232,1
05090824,2,0,0,D,,A,0,D,20232,1
05090834,1,0,150,D,400,D,0,D,20232,1
05090844,4,0,200,D,,A,0,D,20232,1
05090854,1,0,10,D,,A,0,D,20232,1
05090904,1,0,30,D,,A,0,D,20232,1
05090914,1,0,0,D,100,D,30,D,20232,1
05091034,1,0,100,D,,A,0,D,20232,1
05091064,1,0,0,D,0,D,0,D,20232,1
05091094,2,0,2,D,,A,0,D,20232,1
05091114,1,0,178,D,209,D,0,D,20232,1
05091124,3,0,0,D,,A,0,D,20232,1
05091174,1,0,88,D,,A,0,D,20232,1
05091214,1,0,40,D,,A,0,D,20232,1
05091294,2,0,300,D,200,D,0,D,20232,1
05091304,1,0,0,D,,A,0,D,20232,1
05091324,1,0,1000,D,500,D,100,D,20232,1
05091364,1,0,0,D,,A,0,D,20232,1
05091404,2,0,0,D,,A,0,D,20232,1
05091454,1,0,0,D,,A,0,D,20232,1
05091464,1,0,0,D,0,D,0,D,20232,1
05091484,1,0,40,D,,A,0,D,20232,1
05091504,2,0,0,D,0,D,0,D,20232,1
05091544,2,0,160,D,,A,0,D,20232,1
05091584,2,0,200,D,,A,0,D,20232,1
05091624,2,0,275,D,,A,50,D,20232,1
05091654,2,0,0,D,,A,0,D,20232,1
05091684,1,0,100,D,200,D,0,D,20232,1
05091734,3,0,50,D,,A,0,D,20232,1
05091764,1,0,150,D,,A,50,D,20232,1
05091784,1,0,800,D,,A,0,D,20232,1
