QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CONTCODE,CONT_ODE,CONTMO,CONTMO_,CONTEXPX,CONT_XPX
20232,05090664,2,0,1,160,D,13,D,35,D
20232,05090674,4,0,1,100,D,01,D,700,D
20232,05090764,3,0,1,140,D,03,D,10,D
20232,05090764,4,0,1,160,D,02,D,350,D
20232,05090764,5,0,1,150,D,13,D,166,D
20232,05090784,6,0,1,170,D,01,D,200,D
20232,05090784,7,0,1,150,D,13,D,40,D
20232,05090784,8,0,1,160,D,01,D,20,D
20232,05090824,3,0,1,150,D,13,D,400,D
20232,05090824,4,0,1,160,D,13,D,45,D
20232,05090844,5,0,1,150,D,13,D,200,D
20232,05090844,6,0,1,150,D,13,D,50,D
20232,05090854,2,0,1,150,D,13,D,50,D
20232,05090854,3,0,1,160,D,13,D,10,D
20232,05090854,4,0,1,160,D,13,D,10,D
20232,05090904,2,0,1,160,D,13,D,27,D
20232,05090904,3,0,1,160,D,02,D,50,D
20232,05090914,2,0,1,150,D,13,D,425,D
20232,05090914,3,0,1,150,D,03,D,200,D
20232,05091064,2,0,1,110,D,13,D,307,D
20232,05091114,2,0,1,170,D,03,D,300,D
20232,05091114,3,0,1,150,D,13,D,200,D
20232,05091214,2,0,1,150,D,02,D,60,D
20232,05091214,3,0,1,150,D,03,D,50,D
20232,05091214,4,0,1,150,D,13,D,95,D
20232,05091214,5,0,1,160,D,13,D,40,D
20232,05091294,3,0,1,170,D,01,D,100,D
20232,05091304,2,0,1,180,D,03,D,32000,D
20232,05091324,2,0,1,150,D,13,D,200,D
20232,05091454,2,0,1,170,D,03,D,10,D
20232,05091464,2,0,1,150,D,13,D,25,D
20232,05091484,2,0,1,150,D,13,D,100,D
20232,05091544,3,0,2,160,D,01,D,100,D
20232,05091584,3,0,1,100,D,13,D,60,D
20232,05091624,3,0,1,110,D,13,D,750,D
20232,05091654,3,0,1,150,D,13,D,196,F
20232,05091734,4,0,1,170,D,02,D,150,D
20232,05091734,5,0,1,170,D,03,D,75,D
20232,05091764,2,0,1,160,D,01,D,25,D
20232,05091814,6,0,1,170,D,13,D,30,D
20232,05091844,5,0,1,170,D,02,D,400,D
20232,05091844,6,0,1,170,D,03,D,100,D
20232,05091874,2,0,1,100,D,03,D,300,D
20232,05091874,3,0,1,170,D,01,D,200,D
20232,05091874,4,0,1,170,D,01,D,200,D
20232,05091874,5,0,1,150,D,13,D,40,D
20232,05091894,2,0,1,150,D,13,D,250,D
20232,05091924,3,0,2,170,D,01,D,20,D
20232,05091964,2,0,1,100,D,03,D,80,D
20232,05092164,3,0,1,170,D,02,D,60,D
20232,05092234,4,0,1,160,D,13,D,20,D
20232,05092234,5,0,1,160,D,13,D,19,D
20232,05092244,3,0,1,100,D,13,D,300,D
20232,05092404,5,0,1,160,D,02,D,25,D
20232,05092454,2,0,1,160,D,13,D,50,D
20232,05092784,2,0,1,150,D,13,D,800,D
20232,05092784,3,0,1,160,D,13,D,75,D
20232,05092804,3,0,1,160,D,01,D,500,D
20232,05092944,2,0,1,160,D,13,D,200,D
20232,05092964,6,0,1,160,D,01,D,26,D
20232,05092964,7,0,1,160,D,03,D,26,D
20232,05092964,8,0,1,160,D,02,D,26,D
20232,05093064,4,0,1,170,D,13,D,100,D
20232,05093064,5,0,1,100,D,13,D,100,D
20232,05093114,6,0,1,150,D,13,D,1122,F
20232,05093204,8,0,1,150,D,13,D,340,D
20232,05093364,4,0,1,150,D,13,D,400,D
20232,05093364,5,0,1,150,D,02,D,1400,D
20232,05093534,2,0,1,150,D,13,D,300,D
20232,05093674,3,0,1,170,D,02,D,25,D
20232,05093794,3,0,1,110,D,13,D,1160,D
20232,05093804,2,0,1,110,D,13,D,450,D
20232,05093884,12,0,1,170,D,13,D,200,D
20232,05093884,13,0,1,120,D,13,D,2000,D
20232,05093884,14,0,1,150,D,13,D,20,D
20232,05093904,6,0,1,150,D,13,D,430,D
20232,05093904,7,0,1,160,D,13,D,320,D
20232,05093904,8,0,1,160,D,13,D,250,D
20232,05093964,2,0,1,150,D,13,D,200,D
20232,05094104,6,0,1,100,D,13,D,400,D
20232,05094104,7,0,1,150,D,13,D,350,D
20232,05094104,8,0,1,160,D,13,D,125,D
20232,05094144,4,0,1,150,D,13,D,200,D
20232,05094234,3,0,1,160,D,13,D,40,D
20232,05094314,6,0,1,170,D,03,D,30,D
20232,05094314,7,0,1,160,D,13,D,75,D
20232,05094374,2,0,1,160,D,03,D,350,D
20232,05094414,4,0,1,160,D,13,D,60,D
20232,05094494,4,0,1,100,D,02,D,200,D
20232,05094494,5,0,1,100,D,03,D,200,D
20232,05094494,6,0,1,160,D,03,D,100,D
20232,05094504,3,0,1,170,D,02,D,80,D
20232,05094504,4,0,1,150,D,13,D,80,D
20232,05094554,2,0,1,150,D,13,D,100,D
20232,05094824,2,0,1,170,D,01,D,100,D
20232,05094824,3,0,1,160,D,01,D,50,D
20232,05094824,4,0,1,160,D,02,D,100,D
20232,05094914,2,0,1,150,D,13,D,75,D
20232,05094934,3,0,1,170,D,13,D,160,D
20232,05095014,3,0,1,160,D,13,D,10,D
20232,05095054,2,0,1,160,D,03,D,125,D
20232,05095054,3,0,1,150,D,03,D,25,D
20232,05095154,8,0,1,170,D,01,D,170,D
20232,05095154,9,0,1,170,D,02,D,120,D
20232,05095154,10,0,1,170,D,03,D,50,D
20232,05095224,2,0,1,100,D,03,D,300,D
20232,05095224,3,0,1,100,D,03,D,1000,D
20232,05095294,2,0,1,150,D,03,D,25,D
20232,05095344,4,0,1,170,D,01,D,50,D
20232,05095344,5,0,1,170,D,02,D,50,D
20232,05095354,2,0,1,150,D,13,D,160,D
20232,05095374,3,0,1,170,D,01,D,20,D
20232,05095544,2,0,1,110,D,13,D,800,D
20232,05095564,12,0,1,160,D,13,D,15,D
20232,05095634,3,0,1,130,D,01,D,100,D
20232,05095784,3,0,1,140,D,01,D,20,D
20232,05095784,4,0,1,140,D,02,D,20,D
20232,05095784,5,0,1,140,D,03,D,20,D
20232,05095794,2,0,1,130,D,03,D,50,D
20232,05095854,2,0,1,170,D,13,D,100,D
20232,05095854,3,0,1,150,D,13,D,1200,D
20232,05095884,2,0,1,160,D,13,D,120,D
20232,05096274,4,0,1,140,D,02,D,500,D
20232,05096354,2,0,1,100,D,13,D,400,D
20232,05096354,3,0,1,130,D,02,D,100,D
20232,05096354,4,0,1,150,D,13,D,100,D
20232,05096464,3,0,1,160,D,13,D,10,D
20232,05096464,4,0,1,160,D,13,D,10,D
20232,05096764,7,0,1,170,D,13,D,100,D
20232,05096954,2,0,1,150,D,13,D,425,F
20232,05097034,5,0,1,100,D,03,D,100,D
20232,05097034,6,0,1,100,D,03,D,254,D
20232,05097034,7,0,1,150,D,13,D,100,D
20232,05097144,2,0,1,150,D,13,D,80,D
20232,05097274,4,0,1,160,D,13,D,250,D
20232,05097334,6,0,1,170,D,03,D,50,D
20232,05097374,2,0,1,100,D,13,D,100,D
20232,05097374,3,0,1,160,D,13,D,20,D
20232,05097404,2,0,1,150,D,13,D,360,D
20232,05097434,5,0,1,150,D,13,D,100,D
20232,05097554,2,0,1,100,D,13,D,300,D
20232,05097584,2,0,1,100,D,01,D,384,D
20232,05097584,3,0,1,170,D,02,D,185,D
20232,05097584,4,0,1,170,D,02,D,75,D
20232,05097584,5,0,1,150,D,01,D,485,D
20232,05097584,6,0,1,150,D,02,D,375,D
20232,05097584,7,0,1,150,D,03,D,410,D
20232,05097614,2,0,1,170,D,02,D,20,D
20232,05097694,4,0,1,100,D,03,D,20,D
20232,05097834,2,0,1,150,D,13,D,200,D
20232,05097934,6,0,1,170,D,01,D,50,D
20232,05097934,7,0,1,170,D,02,D,50,D
20232,05097944,2,0,1,170,D,03,D,150,D
20232,05098044,2,0,1,170,D,01,D,1100,D
20232,05098044,3,0,1,170,D,02,D,100,D
20232,05098044,4,0,1,170,D,03,D,100,D
20232,05098044,5,0,1,160,D,01,D,3000,D
20232,05098044,6,0,1,160,D,01,D,30,D
20232,05098044,7,0,1,160,D,01,D,30,D
20232,05098044,8,0,1,160,D,01,D,30,D
20232,05098054,5,0,1,170,D,01,D,450,D
20232,05098094,2,0,1,160,D,13,D,15,D
20232,05098114,2,0,1,150,D,13,D,40,D
20232,05098164,5,0,1,170,D,13,D,2,D
20232,05098174,2,0,1,170,D,03,D,50,D
20232,05098174,3,0,1,150,D,13,D,450,D
20232,05098204,4,0,1,170,D,13,D,10,D
20232,05098204,5,0,1,160,D,13,D,20,D
20232,05098264,2,0,1,130,D,02,D,65,D
20232,05098284,2,0,1,130,D,13,D,83,D
20232,05098284,3,0,1,150,D,13,D,50,D
20232,05098304,2,0,1,170,D,01,D,100,D
20232,05098314,3,0,1,160,D,01,D,100,D
20232,05098364,2,0,1,150,D,13,D,60,D
