QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CRMCODEA,CRMC_DEA,ADVMATX,ADVMATX_,MATNSPCX,MATN_PCX,CRMCDA1,CRMCDA1_,CRMCDA2,CRMCDA2_,CRMCDA3,CRMCDA3_,CRMCDA4,CRMCDA4_,CRMCDA5,CRMCDA5_,CRMCDA6,CRMCDA6_,CRMCDA7,CRMCDA7_,CRMCDA8,CRMCDA8_,CRMCDA9,CRMCDA9_
20232,05092614,3,0,1,,A,,A,34,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093794,4,0,1,,A,,A,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05094314,8,0,1,,A,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05094374,3,0,1,140,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05095294,3,0,1,300,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05095564,13,0,1,130,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05096354,5,0,1,130,D,750,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05097134,4,0,1,300,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05098164,6,0,1,,A,,A,9,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05098694,2,0,1,,A,,A,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05099454,7,0,1,,A,,A,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05099474,2,0,1,,A,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05100824,8,0,1,175,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05100994,6,0,1,175,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05101724,6,0,1,160,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05103354,4,0,1,,A,,A,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05103954,3,0,1,175,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05105344,6,0,1,130,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05105654,2,0,1,300,D,1400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05107924,6,0,1,210,D,6800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05108674,6,0,1,,A,,A,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05108894,3,0,1,,A,,A,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05109974,7,0,1,260,D,502,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05110734,6,0,1,130,D,2800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05115144,4,0,1,200,D,9,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05115754,8,0,1,160,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05115844,5,0,1,175,D,750,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05115894,10,0,1,300,D,692,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05117434,4,0,1,160,D,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05118884,3,0,1,140,D,,A,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05119284,3,0,1,290,D,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05120214,13,0,1,210,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05120544,3,0,1,220,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05120634,6,0,1,300,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05120714,3,0,1,140,D,225,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05121724,2,0,1,140,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05122404,5,0,1,175,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05122424,2,0,1,175,D,47,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05123164,3,0,1,300,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05123804,9,0,1,175,D,155,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05201693,4,0,1,150,D,5000,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05201993,5,0,1,,A,,A,500,F,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05202443,4,0,1,200,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05202853,5,0,1,,A,,A,33,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05203763,4,0,1,,A,,A,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05203993,2,0,1,,A,,A,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05204243,6,0,1,160,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05204813,5,0,1,130,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05205733,3,0,1,200,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05207273,5,0,1,300,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05209143,3,0,1,,A,,A,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05209613,5,0,1,190,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05210513,3,0,1,220,D,7949,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05211923,2,0,1,300,D,4625,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05212663,8,0,1,300,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05213023,2,0,1,,A,,A,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05213873,6,0,1,175,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05214423,4,0,1,,A,,A,28,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05215913,2,0,1,,A,,A,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05218543,3,0,1,280,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
