QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CGTEXPW,CGTEXPW_,OTOBQ,OTOBQ_,JFDBAWQV,JFDB_WQV,JALCHMQV,JALC_MQV,JGREXPQV,JGRE_PQV,JCGEXPQV,JCGE_PQV,JOTOBQV,JOTOBQV_,JFDGFTQV,JFDG_TQV,CGTPURCH,OTBPURCH
20232,05090604,7,0,1,2,D,2,D,390,D,0,D,845,D,,A,,A,0,D,,
20232,05090624,2,0,1,2,D,2,D,0,D,0,D,1430,D,,A,,A,0,D,,
20232,05090634,2,0,1,2,D,2,D,650,D,130,D,975,D,,A,,A,600,D,,
20232,05090664,4,0,1,2,D,2,D,325,D,130,D,910,D,,A,,A,0,D,,
20232,05090674,5,0,1,2,D,2,D,650,D,975,D,5200,D,,A,,A,600,D,,
20232,05090694,3,0,1,2,D,2,D,845,D,260,D,4550,D,,A,,A,0,D,,
20232,05090704,2,0,1,2,D,2,D,0,D,0,D,13,D,,A,,A,0,D,,
20232,05090724,3,0,1,2,D,2,D,975,D,260,D,1300,D,,A,,A,0,D,,
20232,05090764,7,0,1,2,D,2,D,1157,D,455,D,1950,D,,A,,A,0,D,,
20232,05090784,13,0,1,2,D,2,D,546,D,26,D,975,D,,A,,A,266,D,,
20232,05090824,6,0,1,2,D,2,D,650,D,0,D,1625,D,,A,,A,0,D,,
20232,05090834,2,0,1,2,D,2,D,1300,D,0,D,1950,D,,A,,A,50,D,,
20232,05090844,7,0,1,2,D,2,D,650,D,117,D,4550,D,,A,,A,0,D,,
20232,05090854,5,0,1,2,D,2,D,0,D,0,D,845,D,,A,,A,0,D,,
20232,05090904,4,0,1,2,D,2,D,1105,D,585,D,2886,D,,A,,A,0,D,,
20232,05090914,5,0,1,2,D,2,D,585,D,130,D,3770,D,,A,,A,0,D,,
20232,05091034,2,0,1,2,D,2,D,650,D,195,D,520,D,,A,,A,120,D,,
20232,05091064,3,0,1,2,D,2,D,3900,D,0,D,5200,D,,A,,A,2,D,,
20232,05091094,3,0,1,2,D,2,D,0,D,0,D,910,D,,A,,A,0,D,,
20232,05091114,4,0,1,1,D,2,D,1300,D,0,D,2600,D,650,D,,A,150,D,,
20232,05091124,4,0,1,2,D,2,D,0,D,0,D,3250,D,,A,,A,0,D,,
20232,05091174,3,0,1,2,D,2,D,390,D,234,D,2353,D,,A,,A,0,D,,
20232,05091214,7,0,1,2,D,2,D,104,D,0,D,650,D,,A,,A,0,D,,
20232,05091294,4,0,1,2,D,2,D,3445,D,585,D,2600,D,,A,,A,0,D,,
20232,05091304,3,0,1,2,D,2,D,1300,D,1300,D,1300,D,,A,,A,0,D,,
20232,05091324,3,0,1,2,D,2,D,1300,D,650,D,2600,D,,A,,A,200,D,,
20232,05091364,2,0,1,1,D,2,D,195,D,0,D,2600,D,390,D,,A,0,D,,
20232,05091404,3,0,1,2,D,2,D,0,D,0,D,1950,D,,A,,A,0,D,,
20232,05091454,3,0,1,2,D,2,D,442,D,0,D,1196,D,,A,,A,0,D,,
20232,05091464,3,0,1,2,D,2,D,0,D,0,D,3900,D,,A,,A,0,D,,
20232,05091484,3,0,1,2,D,2,D,0,D,0,D,1300,D,,A,,A,0,D,,
