QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,FCECODE,FCECODE_,FCESAV,FCESAV_,FCEMO,FCEMO_,FCESCHPD,FCES_HPD,FCESMTX,FCESMTX_,FCENUM2,FCEPURCH,JFCENMQV,FCENUM2_,JFCE_MQV
20232,05090914,6,0,1,345,D,,A,01,D,,A,,A,,,23,A,D
20232,05090914,7,0,1,345,D,,A,03,D,,A,,A,,,385,A,D
20232,05091214,8,0,1,100,D,2,D,03,D,,A,,A,,,400,A,D
20232,05091324,4,0,1,345,D,,A,13,D,,A,,A,,,450,A,D
20232,05091404,4,0,1,700,D,,A,13,D,,A,,A,,,13320,A,D
20232,05091404,15,0,2,700,D,,A,01,D,,A,,A,,,6200,A,D
20232,05091584,5,0,1,303,D,,A,13,D,,A,,A,,,2838,A,D
20232,05091874,10,0,1,200,D,,A,13,D,,A,,A,,,735,A,D
20232,05091874,11,0,1,301,D,,A,13,D,,A,,A,,,2100,A,D
20232,05091874,12,0,2,365,D,,A,01,D,,A,,A,,,400,A,D
20232,05091924,5,0,1,321,D,,A,,A,4,D,,A,1,,20,D,D
20232,05091964,4,0,1,303,D,,A,01,D,,A,,A,,,7500,A,D
20232,05092164,5,0,1,303,D,,A,03,D,,A,,A,,,991,A,D
20232,05092164,6,0,2,365,D,,A,01,D,,A,,A,,,95,A,D
20232,05092164,7,0,2,303,D,,A,01,D,,A,,A,,,1800,A,D
20232,05092244,5,0,2,335,D,,A,01,D,,A,,A,,,,A,H
20232,05092244,5,1,2,310,D,,A,01,D,,A,,A,,,7543,A,E
20232,05092244,5,2,2,321,D,,A,01,D,,A,,A,,,457,A,E
20232,05092244,5,3,2,303,D,,A,01,D,,A,,A,,,8000,A,E
20232,05092284,5,0,1,303,D,,A,03,D,,A,,A,,,300,A,D
20232,05092404,8,0,1,100,D,2,D,13,D,,A,,A,,,600,A,D
20232,05092404,9,0,1,345,D,,A,02,D,,A,,A,,,80,A,D
20232,05092404,10,0,1,345,D,,A,03,D,,A,,A,,,80,A,D
20232,05092454,4,0,1,303,D,,A,01,D,,A,,A,,,500,A,D
20232,05092964,10,0,1,100,D,2,D,13,D,,A,,A,,,540,A,D
20232,05092964,11,0,1,200,D,,A,01,D,,A,,A,,,638,A,D
20232,05092964,12,0,1,200,D,,A,02,D,,A,,A,,,570,A,D
20232,05092964,13,0,1,200,D,,A,03,D,,A,,A,,,475,A,D
20232,05092964,14,0,1,365,D,,A,01,D,,A,,A,,,375,A,D
20232,05093244,3,0,1,303,D,,A,01,D,,A,,A,,,985,A,D
20232,05093244,4,0,1,365,D,,A,01,D,,A,,A,,,30,A,D
20232,05093534,5,0,1,301,D,,A,03,D,,A,,A,,,100,A,D
20232,05093534,6,0,1,400,D,,A,01,D,,A,,A,,,,A,H
20232,05093534,6,1,1,310,D,,A,01,D,,A,,A,,,3718,A,E
20232,05093534,6,2,1,321,D,,A,01,D,,A,,A,,,225,A,E
20232,05093534,6,3,1,365,D,,A,01,D,,A,,A,,,114,A,E
20232,05093534,6,4,1,303,D,,A,01,D,,A,,A,,,3943,A,E
20232,05093834,4,0,1,321,D,,A,,A,4,D,,A,3,2,300,D,D
20232,05093834,5,0,1,400,D,,A,13,D,,A,,A,,,,A,H
20232,05093834,5,1,1,345,D,,A,13,D,,A,,A,,,121,A,E
20232,05093834,5,2,1,301,D,,A,13,D,,A,,A,,,1169,A,E
20232,05093904,12,0,1,200,D,,A,13,D,,A,,A,,,750,A,D
20232,05093964,4,0,1,301,D,,A,13,D,,A,,A,,,1695,A,D
20232,05093964,5,0,1,365,D,,A,01,D,,A,,A,,,200,A,D
20232,05094104,11,0,1,303,D,,A,13,D,,A,,A,,,12750,A,D
20232,05094104,12,0,1,310,D,,A,13,D,,A,,A,,,6000,A,D
20232,05094104,13,0,1,321,D,,A,,A,4,D,,A,3,,1800,D,D
20232,05094104,14,0,1,365,D,,A,13,D,,A,,A,,,750,A,D
20232,05094234,5,0,1,200,D,,A,13,D,,A,,A,,,345,A,D
20232,05094374,5,0,1,321,D,,A,,A,2,D,,A,10,,100,D,D
20232,05094374,6,0,1,345,D,,A,13,D,,A,,A,,,540,A,D
20232,05094544,4,0,1,303,D,,A,01,D,,A,,A,,1,5000,A,D
20232,05094544,5,0,1,303,D,,A,01,D,,A,,A,,,5000,A,D
20232,05094674,4,0,1,321,D,,A,,A,4,D,,A,3,,270,D,D
20232,05094914,4,0,1,321,D,,A,,A,4,D,,A,3,,240,D,D
20232,05095224,7,0,1,365,D,,A,01,D,,A,,A,,,150,A,D
20232,05095224,8,0,2,303,D,,A,01,D,,A,,A,,,3048,A,D
20232,05095264,3,0,2,365,D,,A,01,D,,A,,A,,,50,A,D
20232,05095354,4,0,1,302,D,,A,13,D,,A,,A,,,21,A,D
20232,05095354,5,0,1,321,D,,A,,A,4,D,,A,3,,1800,D,D
20232,05095444,8,0,1,321,D,,A,,A,4,D,,A,1,,125,D,D
20232,05095444,9,0,1,321,D,,A,,A,4,D,,A,1,,125,D,D
20232,05095564,17,0,1,321,D,,A,,A,5,D,340,D,,,340,A,D
20232,05095744,8,0,1,200,D,,A,13,D,,A,,A,,,900,A,D
20232,05096064,3,0,1,365,D,,A,02,D,,A,,A,,,125,A,D
20232,05096144,4,0,1,200,D,,A,13,D,,A,,A,,,1200,A,D
20232,05096254,3,0,1,301,D,,A,03,D,,A,,A,,,7,A,D
20232,05096354,7,0,1,301,D,,A,13,D,,A,,A,,1,3000,A,D
20232,05096354,8,0,1,303,D,,A,02,D,,A,,A,,3,2850,A,D
20232,05096354,9,0,1,321,D,,A,,A,4,D,,A,3,,450,D,D
20232,05096354,10,0,1,345,D,,A,13,D,,A,,A,,,1200,A,D
20232,05096684,5,0,1,303,D,,A,01,D,,A,,A,,,4000,A,D
20232,05096924,3,0,2,365,D,,A,01,D,,A,,A,,,150,A,D
20232,05096954,4,0,1,365,D,,A,01,D,,A,,A,,1,75,A,D
20232,05097084,3,0,1,301,D,,A,03,D,,A,,A,,,20,A,D
20232,05097554,6,0,1,303,D,,A,01,D,,A,,A,,,500,A,D
20232,05097554,7,0,1,310,D,,A,13,D,,A,,A,,,2040,A,D
20232,05097664,9,0,1,303,D,,A,01,D,,A,,A,,,850,A,D
20232,05097664,10,0,1,365,D,,A,01,D,,A,,A,,,105,A,D
20232,05097664,11,0,2,303,D,,A,01,D,,A,,A,,,355,A,D
20232,05097724,7,0,1,321,D,,A,,A,2,D,,A,9,,180,D,D
20232,05097724,8,0,1,321,D,,A,,A,2,D,,A,9,,180,D,D
20232,05097724,9,0,1,225,D,,A,13,D,,A,,A,,,900,A,D
20232,05097934,10,0,1,200,D,,A,13,D,,A,,A,,,2100,A,D
20232,05097934,11,0,1,365,D,,A,13,D,,A,,A,,,90,A,D
20232,05097934,12,0,1,345,D,,A,13,D,,A,,A,,,360,A,D
20232,05098204,19,0,5,700,D,,A,,A,,A,,A,,,,A,A
20232,05098674,10,0,1,200,D,,A,13,D,,A,,A,,1,3960,A,D
20232,05098674,11,0,1,225,D,,A,03,D,,A,,A,,,400,A,D
20232,05098814,7,0,1,303,D,,A,01,D,,A,,A,,,33000,A,D
20232,05098814,8,0,1,345,D,,A,03,D,,A,,A,,,29,A,D
20232,05098814,9,0,1,345,D,,A,03,D,,A,,A,,,250,A,D
20232,05098814,10,0,2,303,D,,A,01,D,,A,,A,,,33000,A,D
20232,05098854,4,0,1,200,D,,A,13,D,,A,,A,,,3300,A,D
20232,05099004,6,0,1,200,D,,A,13,D,,A,,A,,,1920,A,D
20232,05099204,9,0,1,303,D,,A,02,D,,A,,A,,,1200,A,D
20232,05099204,10,0,1,365,D,,A,13,D,,A,,A,,,75,A,D
20232,05099204,11,0,2,303,D,,A,01,D,,A,,A,,,2100,A,D
20232,05099454,12,0,1,200,D,,A,13,D,,A,,A,,,3000,A,D
20232,05099904,4,0,1,303,D,,A,13,D,,A,,A,,,10500,A,D
20232,05099904,5,0,1,321,D,,A,,A,4,D,,A,3,1,600,D,D
20232,05099904,6,0,1,302,D,,A,13,D,,A,,A,,,5100,A,D
20232,05099944,5,0,1,100,D,2,D,13,D,,A,,A,,,900,A,D
20232,05099944,6,0,1,302,D,,A,13,D,,A,,A,,,750,A,D
20232,05100234,7,0,1,303,D,,A,01,D,,A,,A,,,10000,A,D
20232,05100234,8,0,1,310,D,,A,13,D,,A,,A,,,1650,A,D
20232,05100234,9,0,1,321,D,,A,,A,4,D,,A,3,,450,D,D
20232,05100234,10,0,1,345,D,,A,01,D,,A,,A,,,150,A,D
20232,05100584,5,0,2,303,D,,A,01,D,,A,,A,,,7500,A,D
20232,05100584,6,0,2,365,D,,A,01,D,,A,,A,,,300,A,D
20232,05101214,3,0,1,303,D,,A,13,D,,A,,A,,,3000,A,D
20232,05101254,13,0,1,302,D,,A,13,D,,A,,A,,,420,A,D
20232,05101254,14,0,1,365,D,,A,03,D,,A,,A,,,125,A,D
20232,05101254,15,0,1,365,D,,A,03,D,,A,,A,,,180,A,D
20232,05101314,8,0,1,303,D,,A,01,D,,A,,A,,1,36000,A,D
20232,05101314,9,0,1,310,D,,A,13,D,,A,,A,,,26204,A,T
20232,05101314,10,0,1,321,D,,A,,A,4,D,,A,3,,8100,D,D
20232,05101314,11,0,1,365,D,,A,01,D,,A,,A,,1,4200,A,D
20232,05101334,3,0,1,200,D,,A,13,D,,A,,A,,,750,A,D
20232,05101414,5,0,1,303,D,,A,01,D,,A,,A,,,39,A,D
20232,05101824,3,0,1,303,D,,A,01,D,,A,,A,,,2800,A,D
20232,05101824,4,0,1,365,D,,A,02,D,,A,,A,,,80,A,D
20232,05101824,5,0,2,365,D,,A,01,D,,A,,A,,,15,A,D
20232,05101894,6,0,1,335,D,,A,01,D,,A,,A,,1,,A,H
20232,05101894,6,1,1,310,D,,A,01,D,,A,,A,,1,3929,A,E
20232,05101894,6,2,1,321,D,,A,01,D,,A,,A,,1,238,A,E
20232,05101894,6,3,1,303,D,,A,01,D,,A,,A,,1,4166,A,E
20232,05101894,7,0,1,335,D,,A,02,D,,A,,A,,1,,A,H
20232,05101894,7,1,1,310,D,,A,02,D,,A,,A,,1,3929,A,E
20232,05101894,7,2,1,321,D,,A,02,D,,A,,A,,1,238,A,E
20232,05101894,7,3,1,303,D,,A,02,D,,A,,A,,1,4166,A,E
20232,05101894,8,0,1,335,D,,A,03,D,,A,,A,,1,,A,H
20232,05101894,8,1,1,310,D,,A,03,D,,A,,A,,1,3929,A,E
20232,05101894,8,2,1,321,D,,A,03,D,,A,,A,,1,238,A,E
20232,05101894,8,3,1,303,D,,A,03,D,,A,,A,,1,4166,A,E
20232,05101954,5,0,1,200,D,,A,13,D,,A,,A,,,3000,A,D
20232,05102284,8,0,1,345,D,,A,13,D,,A,,A,,,240,A,D
20232,05102444,5,0,1,365,D,,A,04,D,,A,,A,,,800,A,D
20232,05102564,14,0,1,321,D,,A,,A,4,D,,A,1,,30,D,D
20232,05102564,15,0,1,301,D,,A,03,D,,A,,A,,,560,A,D
20232,05102564,16,0,1,301,D,,A,04,D,,A,,A,,,400,A,D
20232,05102734,5,0,1,302,D,,A,05,D,,A,,A,,,50,A,D
20232,05102734,6,0,1,302,D,,A,13,D,,A,,A,,,21,A,D
20232,05103114,4,0,1,301,D,,A,13,D,,A,,A,,2,6600,A,D
20232,05103114,5,0,1,400,D,,A,13,D,,A,,A,,,,A,H
20232,05103114,5,1,1,200,D,,A,13,D,,A,,A,,,3245,A,E
20232,05103114,5,2,1,225,D,,A,13,D,,A,,A,,,1555,A,E
20232,05103394,5,0,1,303,D,,A,05,D,,A,,A,,,700,A,D
20232,05103394,6,0,2,303,D,,A,03,D,,A,,A,,,37000,A,D
20232,05103424,9,0,1,321,D,,A,,A,5,D,30,D,,,30,A,D
20232,05103574,7,0,1,321,D,,A,,A,4,D,,A,2,2,400,D,D
20232,05103574,8,0,2,345,D,,A,03,D,,A,,A,,,120,A,D
20232,05103694,6,0,1,100,D,2,D,04,D,,A,,A,,,2000,A,D
20232,05103694,7,0,1,200,D,,A,13,D,,A,,A,,,3600,A,D
20232,05103784,6,0,1,225,D,,A,13,D,,A,,A,,,1200,A,D
20232,05104264,4,0,1,100,D,2,D,13,D,,A,,A,,,300,A,D
20232,05104384,15,0,1,302,D,,A,05,D,,A,,A,,,160,A,D
20232,05104644,7,0,1,303,D,,A,04,D,,A,,A,,,12216,A,D
20232,05104644,8,0,1,310,D,,A,04,D,,A,,A,,,4800,A,D
