QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOG,PROP0NOG,OWNYG,OWNYG_,NEWMRTG,NEWMRTG_,ORGMRTG,ORGMRTG_,QMRTTRMG,QMRT_RMG,MRTPMTG,MRTPMTG_,PAYPRTXG,PAYP_TXG,PAYPRING,PAYP_ING,PAYMRING,PAYM_ING,PAYOTHRG,PAYO_HRG,QESCROWG,QESC_OWG,QPRINM1G,QPRI_M1G,QPRINM2G,QPRI_M2G,QPRINM3G,QPRI_M3G,QADINT1G,QADI_T1G,QADINT2G,QADI_T2G,QADINT3G,QADI_T3G,QRFINDTG,QRFI_DTG,FRSTPYMG,FRST_YMG,FRSTPYRG,FRST_YRG,FIXDRTEG,FIXD_TEG,QNEWDATG,QNEW_ATG,QBLNCM1G,QBLN_M1G,QBLNCM2G,QBLN_M2G,QBLNCM3G,QBLN_M3G,LOAN_NOG,LOAN0NOG,VARRTEG,VARRTEG_,INTONLYG,INTO_LYG,OTHRTEG,OTHRTEG_,PAYMT1G,PAYMT1G_,PAYMT2G,PAYMT2G_,PAYMT3G,PAYMT3G_,PAYPRNPG,PAYP_NPG,PAYINTG,PAYINTG_
20232,05091174,22,0,5,01,D,100,D,.0609,D,23565,D,15,D,200,D,,A,,A,,A,,A,0,D,82,D,82,D,83,D,118,D,118,D,117,D,,A,09,D,2022,D,1,D,,A,23241,D,23159,D,23076,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20232,05092144,23,0,5,01,D,100,D,.0600,D,97500,D,15,D,823,D,,A,,A,,A,,A,0,D,0,D,0,D,0,D,,A,,A,,A,,A,02,D,2023,D,2,D,022023,D,97500,D,97500,D,97500,D,01,D,,A,2,D,,A,591,D,2038,T,591,D,,A,2,D
20232,05092144,45,0,5,01,D,100,D,.0600,D,193000,D,10,D,2156,T,,B,,B,,B,,B,57,D,0,D,0,D,0,D,,A,,A,,A,022023,D,11,D,2022,D,2,D,,A,208744,T,207935,T,207123,T,01,D,,A,2,D,,A,500,D,500,D,500,D,,A,2,D
20232,05094734,22,0,5,01,D,100,D,.0609,D,118000,D,5,D,2156,T,,A,,A,,A,,A,0,D,0,D,0,D,0,D,0,D,0,D,0,D,,A,03,D,2022,D,2,D,,A,100736,D,98961,D,97177,D,01,D,1,D,,A,,A,0,D,0,D,0,D,1,D,2,D
20232,05095294,29,0,5,01,D,100,D,.0529,D,145000,D,10,D,1559,D,,C,,C,,C,,C,0,D,1187,D,1192,D,1198,D,372,D,367,D,361,D,,A,03,D,2018,D,1,D,,A,84363,D,83176,D,81984,D,01,D,,A,,A,,A,,A,,A,,A,,C,,A
20232,05097554,22,0,5,01,D,100,D,.0700,D,37207,D,10,D,432,D,,A,,A,,A,,A,0,D,394,D,396,D,398,D,38,D,36,D,34,D,,A,05,D,2014,D,1,D,,A,6582,D,6188,D,5792,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20232,05104354,16,0,5,01,D,100,D,.0400,F,30000,F,15,F,250,F,,B,,B,,B,,B,28,D,124,F,124,F,125,F,98,F,98,F,97,F,,A,10,F,2022,F,1,F,,A,29386,F,29262,F,29137,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20232,05109064,54,0,5,01,D,100,D,.0900,D,147890,D,15,D,1500,D,,A,,A,,A,,A,0,D,397,D,400,D,403,D,1103,D,1100,D,1097,D,,A,01,D,2023,D,1,D,,A,147105,D,146709,D,146309,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20232,05110594,19,0,5,01,D,100,D,.0500,D,29506,D,17,D,215,D,,A,,A,,A,,A,0,D,116,D,116,D,117,D,99,D,99,D,98,D,,A,08,D,2018,D,1,D,,A,23829,D,23713,D,23597,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20232,05114654,26,0,5,01,D,100,D,.0550,D,31412,D,5,D,600,D,,A,,A,,A,,A,0,D,480,D,482,D,484,D,120,D,118,D,116,D,,A,03,D,2022,D,1,D,,A,26279,D,25800,D,25318,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
