ALCNO,CHIP,CHIPCOV,CHIPCOV_,CHIPPRMX,CHIP_,CHIP_RMX,CHXCHNG,CHXCHNG_,IHS,IHSCOV,IHSCOV_,IHS_,JCHIPQVX,JCHI_QVX,JMDCDQVX,JMDC_QVX,MDCDCOV,MDCDCOV_,MDCDPRMX,MDCD_RMX,MEDICAID,MEDI_AID,MEDPREM,MEDPREM_,MILITARY,MILI_ARY,MILMAN,MILMAN_,MILOTCOV,MILOTHR,MILOTHR_,MILOTSTL,MILO_COV,MILO_STL,MILSPC1,MILSPC1_,MILSPC2,MILSPC2_,MILSPC3,MILSPC3_,MILSPC4,MILSPC4_,MILVACOV,MILVASTL,MILV_COV,MILV_STL,MXCHNG,MXCHNG_,NEWID,QTRIRPMX,QTRI_PMX,RECTYPE,REC_ORIG,REC_STAT,SEQNO,STRFPRM1,STRF_RM1,TRIANYPD,TRIA_YPD,TRICRSTL,TRIC_STL,TRIIRGXB,TRII_GXB,TRILSTTM,TRIL_TTM,TRIRPMPD,TRIRPMXB,TRIR_MPD,TRIR_MXB,QYEAR,TRICOV,TRICOV_
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05090624,,A,HHM,5,1,4,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,3,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05090694,,A,HHM,5,1,7,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,,A,05090784,,A,HHM,4,1,16,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,3,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05090834,,A,HHM,5,1,4,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,,A,,2,D,,A,A,2,D,,A,,A,,A,1,1,D,D,,A,05091064,,A,HHM,5,1,5,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,3,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05091114,,A,HHM,5,1,6,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05091124,,A,HHM,5,1,8,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,3,D,,2,D,,A,A,1,D,,A,,A,,A,,,A,A,,A,05091304,,A,HHM,5,1,5,,A,,A,1,D,,A,,A,,,A,A,20232,2,D
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,3,D,,2,D,,A,A,1,D,,A,,A,,A,,,A,A,,A,05091654,,A,HHM,5,1,7,,A,,A,1,D,,A,,A,,,A,A,20232,1,D
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,3,D,,2,D,,A,A,1,D,2,D,,A,,A,1,1,D,D,,A,05091844,,A,HHM,5,1,12,,A,,A,1,D,,A,,A,,,A,A,20232,3,D
0,2,,A,,D,A,,A,2,,A,D,,A,,A,3,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05091954,,A,HHM,5,1,4,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,,A,05092164,,A,HHM,5,1,9,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05092264,,A,HHM,5,1,13,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,5,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05092284,,A,HHM,5,1,14,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05092454,,A,HHM,5,1,6,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05092614,,A,HHM,5,1,7,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,4,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05092704,,A,HHM,5,1,4,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,,A,05092764,,A,HHM,4,1,7,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05092904,,A,HHM,1,1,4,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,3,D,1,D,1,F,1,D,1,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05093004,,A,HHM,5,1,6,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,1,D,,2,D,,A,A,1,D,,A,,A,,A,,,A,A,,A,05093064,57,F,HHM,1,1,9,,A,,A,,A,,A,,A,03,,D,C,20232,1,D
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,,A,,2,D,,A,A,2,D,,A,,A,,A,1,1,D,D,,A,05093344,,A,HHM,5,1,4,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,,A,,2,D,,A,A,2,D,,A,,A,,A,1,1,D,D,,A,05093364,,A,HHM,5,1,9,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,,C,05093784,,A,HHM,5,1,4,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,3,D,,2,D,,A,A,1,D,,A,,A,,A,,,A,A,,A,05093794,,A,HHM,1,1,9,,A,,A,,A,,A,,A,,,A,A,20232,1,D
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,1,D,,2,D,,A,A,1,D,,A,,A,,A,,,A,A,,A,05093834,,A,HHM,5,1,7,,A,2,D,1,D,,A,,A,04,,D,A,20232,4,D
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05093964,,A,HHM,5,1,7,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,2,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05094684,,A,HHM,5,1,4,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,3,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05095034,,A,HHM,5,1,4,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,4,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05095544,,A,HHM,1,1,5,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,3,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05095594,,A,HHM,5,1,5,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,3,D,,2,D,,A,A,1,D,,A,,A,,A,,,A,A,,A,05095784,,A,HHM,5,1,8,,A,,A,1,D,,A,,A,,,A,A,20232,1,D
0,2,,A,,D,A,,A,2,,A,D,,A,,A,3,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05095844,,A,HHM,5,1,6,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05096064,,A,HHM,5,1,6,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,4,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,,C,05096174,,A,HHM,1,1,11,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05096834,,A,HHM,5,1,4,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05096884,,A,HHM,5,1,8,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,,C,05097004,,A,HHM,5,1,4,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,3,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05097084,,A,HHM,1,1,5,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,,A,,2,D,,A,A,2,D,,A,,A,,A,1,1,D,D,,A,05097134,,A,HHM,5,1,7,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,2,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05097144,,A,HHM,5,1,5,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05097354,,A,HHM,5,1,8,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,42,D,1,D,14,D,1,D,1,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05097604,,A,HHM,5,1,5,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,2,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05097614,,A,HHM,5,1,5,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,1,3,D,,D,A,2,D,2,,A,D,,A,,A,,A,,A,2,D,,A,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,,A,05097664,,A,HHM,5,1,15,2,D,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,45,D,1,D,15,D,1,D,1,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05097694,,A,HHM,5,1,11,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,1,2,D,25,D,D,2,D,2,,A,D,75,D,,A,,A,,A,2,D,,A,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,,A,05097724,,A,HHM,5,1,11,1,D,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,,C,05097784,,A,HHM,5,1,6,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,,A,,2,D,,A,A,2,D,,A,,A,,A,1,1,D,D,,A,05097834,,A,HHM,5,1,7,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05097944,,A,HHM,1,1,7,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,,A,,2,D,,A,A,2,D,,A,,A,,A,1,1,D,D,,A,05098174,,A,HHM,5,1,6,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05098244,,A,HHM,4,1,4,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,3,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05098294,,A,HHM,5,1,4,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,2,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,,C,05098304,,A,HHM,5,1,5,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,5,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,,C,05098344,,A,HHM,5,1,5,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05098494,,A,HHM,1,1,16,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,3,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05098604,,A,HHM,5,1,6,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,3,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05098634,,A,HHM,5,1,4,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,,C,05098684,,A,HHM,5,1,4,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,,A,,2,D,,A,A,2,D,,A,,A,,A,1,1,D,D,,A,05098994,,A,HHM,5,1,15,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,1,D,,2,D,,A,A,1,D,,A,,A,,A,,,A,A,,A,05099004,177,F,HHM,5,1,8,,A,1,D,1,D,,A,1,D,03,,D,C,20232,3,D
0,2,,A,,D,A,,A,2,,A,D,,A,,A,2,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05099054,,A,HHM,5,1,4,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,3,D,,2,D,,A,A,1,D,,A,,A,,A,,,A,A,,A,05099314,,A,HHM,5,1,5,,A,,A,1,D,,A,,A,,,A,A,20232,1,D
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,,A,,2,D,,A,A,2,D,,A,,A,,A,1,1,D,D,,A,05099374,,A,HHM,5,1,15,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,,A,05099394,,A,HHM,5,1,6,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,1,2,D,D,,A,,A,,A,,A,2,D,,A,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,,A,05099474,,A,HHM,5,1,5,,A,,A,,A,,A,,A,,,A,A,20232,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,4,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05100194,,A,HHM,5,1,10,,A,,A,,A,,A,,A,,,A,A,20232,,A
