ALCNO,FSA,FSA_,HHIANYPD,HHIA_YPD,HHIBCBS,HHIBCBS_,HHICOVQ,HHICOVQ_,HHIGROUP,HHIG_OUP,HHIIRGXB,HHII_GXB,HHILSTTM,HHIL_TTM,HHIPDLIB,HHIPRDED,HHIPROUT,HHIPRYOU,HHIP_DED,HHIP_LIB,HHIP_OUT,HHIP_YOU,HHIRPMPD,HHIRPMXB,HHIR_MPD,HHIR_MXB,HHISTILL,HHISUBPD,HHIS_BPD,HHIS_ILL,HSAHRA,HSAHRA_,MEDIGAP,MEDIGAP_,NEWID,PLNMGD,PLNMGD_,PORTAL,PORTAL_,PORTPLAN,PORT_LAN,PREMSUBS,PREM_UBS,QHHP3MX,QHHP3MX_,RECTYPE,REC_ORIG,REC_STAT,SEQNO,SSTYPE,SSTYPE_,QYEAR
0,,A,1,D,,A,2,D,1,D,,A,1,D,1,2,,1,D,D,A,D,09,3316,D,D,1,,A,D,,A,,A,05090604,,A,,A,,A,,A,829,D,HHP,5,1,10,2,D,20232
0,2,D,,A,1,D,1,D,2,D,,A,,A,2,,1,2,A,D,D,D,,,A,A,1,,A,D,2,D,1,D,05090604,2,D,,A,,A,,A,,A,HHP,5,1,11,,A,20232
0,2,D,1,D,,A,1,D,1,D,,A,1,D,3,2,,1,D,D,A,D,04,125,D,D,1,,A,D,2,D,1,D,05090604,1,D,1,D,,C,2,D,375,D,HHP,5,1,12,,A,20232
0,2,D,1,D,,A,1,D,2,D,,A,1,D,1,1,,1,D,D,A,D,02,45,D,D,1,,A,D,2,D,,A,05090634,2,D,,A,,A,,A,293,D,HHP,5,1,4,,A,20232
0,,A,1,D,,A,1,D,2,D,,A,1,D,2,1,,1,D,D,A,D,02,15,D,D,1,,A,D,,A,,A,05090634,,A,,A,,A,,A,98,D,HHP,5,1,5,1,D,20232
0,,A,1,D,,A,1,D,2,D,,A,1,D,3,1,,1,D,D,A,D,02,13,D,D,1,,A,D,,A,,A,05090634,,A,,A,,A,,A,85,D,HHP,5,1,6,4,D,20232
0,1,D,1,D,1,D,2,D,1,D,,A,1,D,1,1,,1,D,D,A,D,03,400,D,D,1,,A,D,,A,,A,05090664,1,D,2,D,,A,,A,2400,D,HHP,5,1,8,,A,20232
0,,A,1,D,,A,1,D,2,D,,A,1,D,1,1,,1,D,D,A,D,02,7,D,D,1,,A,D,,A,,A,05090694,,A,,A,,A,,A,46,D,HHP,5,1,8,1,D,20232
0,,A,1,D,,A,1,D,2,D,,A,1,D,2,1,,1,D,D,A,D,02,3,D,D,1,,A,D,,A,,A,05090694,,A,,A,,A,,A,20,D,HHP,5,1,9,4,D,20232
0,,A,1,D,,A,2,D,2,D,,A,1,D,1,1,,1,D,D,A,D,02,1,D,D,1,,A,D,,A,,A,05090704,,A,,A,,A,,A,7,D,HHP,5,1,4,1,D,20232
0,,A,1,D,,A,2,D,2,D,,A,1,D,2,1,,1,D,D,A,D,02,1,D,D,1,,A,D,,A,,A,05090704,,A,,A,,A,,A,7,D,HHP,5,1,5,4,D,20232
0,2,D,1,D,1,D,2,D,2,D,,A,1,D,3,1,,1,D,D,A,D,02,100,D,D,1,,A,D,2,D,,A,05090704,2,D,,A,,A,,A,650,D,HHP,5,1,6,,A,20232
0,2,D,,A,1,D,1,D,1,D,,A,,A,1,,2,2,A,D,D,D,,,A,A,,,A,A,,A,,A,05090724,1,D,2,D,,A,,A,,A,HHP,1,1,5,,A,20232
0,2,D,,A,1,D,2,D,2,D,,A,,A,1,,1,2,A,D,D,D,,,A,A,1,,A,D,2,D,,A,05090764,2,D,,A,,A,,A,,A,HHP,5,1,10,,A,20232
0,,A,1,D,,A,1,D,2,D,,A,1,D,1,1,,1,D,D,A,D,04,,D,C,1,,A,D,,A,,A,05090824,,A,,A,,A,,A,138,F,HHP,5,1,8,1,D,20232
0,,A,1,D,,A,2,D,2,D,,A,1,D,2,1,,1,D,D,A,D,04,,D,C,1,,A,D,,A,,A,05090824,,A,,A,,A,,A,78,F,HHP,5,1,9,4,D,20232
0,2,D,1,D,,A,1,D,2,D,,A,1,D,3,1,,1,D,D,A,D,04,139,D,D,1,,A,D,2,D,,A,05090824,2,D,,A,,A,,A,417,D,HHP,5,1,10,,A,20232
0,2,D,1,D,1,D,1,D,2,D,,A,1,D,1,2,,1,D,D,A,D,04,185,D,D,1,,A,D,,A,1,D,05090844,1,D,,A,,A,,A,555,D,HHP,5,1,11,,A,20232
