QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MEDPCARY,MEDP_ARY,MEDPGFTC,MEDP_FTC,MEDPMTMO,MEDP_TMO,MEDPMTX,MEDPMTX_,MEDPCY1,MEDPCY1_,MEDPCY2,MEDPCY2_,MEDPCY3,MEDPCY3_,MEDPCY4,MEDPCY4_,MEDPCY5,MEDPCY5_,MEDPCY6,MEDPCY6_,MEDPCY7,MEDPCY7_,MEDPCY8,MEDPCY8_,MEDPCY9,MEDPCY9_,MEDPPRNT,MEDP_RNT,MEDPNOUT,MEDP_OUT
20232,05090604,21,0,1,200,D,1,D,02,D,204,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05090604,22,0,1,620,D,1,D,02,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05090624,12,0,1,620,D,1,D,13,D,6,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05090634,11,0,1,120,D,1,D,03,D,113,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05090634,12,0,1,200,D,1,D,01,D,197,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05090634,13,0,2,200,D,1,D,01,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05090664,17,0,1,410,D,1,D,13,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
20232,05090724,7,0,1,420,D,1,D,02,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05090724,8,0,1,200,D,1,D,03,D,305,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05090764,19,0,1,200,D,1,D,01,D,152,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05090764,20,0,1,200,D,1,D,03,D,152,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05090764,21,0,1,410,D,1,D,02,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20232,05090764,22,0,1,620,D,1,D,01,D,86,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05090764,23,0,1,620,D,1,D,02,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05090764,24,0,1,620,D,1,D,03,D,323,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05090784,31,0,1,655,D,1,D,02,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,A
20232,05090784,32,0,1,620,D,1,D,13,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05090824,17,0,1,420,D,1,D,01,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05090824,18,0,1,620,D,1,D,13,D,366,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05090844,19,0,1,420,D,1,D,02,D,107,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05090844,20,0,1,420,D,1,D,01,D,140,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05090844,21,0,1,620,D,1,D,13,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05090844,22,0,2,420,D,1,D,01,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05090844,23,0,2,420,D,1,D,01,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
