QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MEDRCARY,MEDR_ARY,MEDRGFTC,MEDR_FTC,MEDRMBMO,MEDR_BMO,MEDRMBX,MEDRMBX_,MEDRCY1,MEDRCY1_,MEDRCY2,MEDRCY2_,MEDRCY3,MEDRCY3_,MEDRCY4,MEDRCY4_,MEDRCY5,MEDRCY5_,MEDRCY6,MEDRCY6_,MEDRCY7,MEDRCY7_,MEDRCY8,MEDRCY8_,MEDRCY9,MEDRCY9_,MEDRPRNT,MEDR_RNT,MEDRNOUT,MEDR_OUT
20232,05091304,25,0,1,620,D,1,D,01,D,24,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092964,49,0,1,410,D,1,D,01,D,131,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20232,05092964,50,0,1,410,D,1,D,02,D,161,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
20232,05092964,51,0,1,410,D,1,D,03,D,343,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
20232,05092964,52,0,1,420,D,1,D,03,D,112,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092964,53,0,1,620,D,1,D,01,D,145,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092964,54,0,1,620,D,1,D,02,D,335,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05092964,55,0,1,620,D,1,D,03,D,934,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093664,21,0,1,410,D,1,D,03,D,579,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
20232,05094224,9,0,1,620,D,1,D,02,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05095244,10,0,1,620,D,1,D,01,D,24,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05096254,16,0,1,120,D,1,D,03,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05098464,15,0,1,420,D,1,D,01,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05098524,22,0,1,620,D,1,D,01,D,111,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05098524,23,0,1,620,D,1,D,03,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05099374,21,0,1,200,D,1,D,01,D,3250,T,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05099534,14,0,1,530,D,1,D,03,D,34,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05100824,30,0,1,620,D,1,D,01,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05103114,14,0,1,900,D,1,D,04,D,,H,900,D,330,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05103114,14,1,1,200,D,1,D,04,D,16,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05103114,14,2,1,330,D,1,D,04,D,132,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05103114,14,3,1,620,D,1,D,04,D,2,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05103484,16,0,2,420,D,1,D,03,D,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05103994,13,0,1,620,D,1,D,05,D,34,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05104574,18,0,1,200,D,1,D,05,D,913,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05107644,14,0,1,420,D,1,D,05,D,210,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05108084,11,0,1,530,D,1,D,05,D,465,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05108084,12,0,2,530,D,1,D,03,D,660,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05108294,24,0,1,635,D,2,D,05,D,,T,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,A
20232,05109794,26,0,1,620,D,1,D,03,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05110674,25,0,1,120,D,1,D,05,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05112864,19,0,1,620,D,1,D,04,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05113164,21,0,2,200,D,1,D,03,D,1502,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05113524,22,0,2,420,D,1,D,03,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05113874,22,0,1,200,D,1,D,05,D,441,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05114554,25,0,1,530,D,1,D,03,D,6933,T,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05114584,23,0,1,110,D,1,D,03,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05118164,22,0,1,200,D,1,D,04,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05118354,22,0,1,620,D,1,D,02,D,141,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05118354,23,0,1,620,D,1,D,03,D,141,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05118354,24,0,1,620,D,1,D,04,D,141,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05120774,20,0,1,110,D,1,D,04,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05121434,18,0,1,200,D,1,D,03,D,16,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05122174,10,0,1,200,D,1,D,02,D,108,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05122404,22,0,1,200,D,1,D,03,D,239,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05122544,12,0,1,330,D,1,D,04,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05122544,13,0,1,620,D,1,D,04,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05123614,45,0,1,200,D,1,D,04,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05123624,24,0,1,200,D,1,D,02,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05201883,16,0,1,130,D,1,D,03,D,,H,120,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05201883,16,1,1,120,D,1,D,03,D,208,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05201883,16,2,1,110,D,1,D,03,D,173,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05202853,17,0,1,200,D,1,D,01,D,275,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05203813,27,0,1,620,D,1,D,03,D,670,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05203943,11,0,1,620,D,1,D,02,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05206613,27,0,1,120,D,1,D,02,D,43,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05207303,14,0,1,200,D,1,D,01,D,3250,T,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05207303,15,0,1,200,D,1,D,02,D,3250,T,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05207303,16,0,1,620,D,1,D,01,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05209853,27,0,1,620,D,1,D,01,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05214393,19,0,1,200,D,1,D,02,D,114,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05217263,22,0,1,420,D,1,D,04,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05217263,23,0,1,510,D,1,D,04,D,358,T,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05219924,27,0,1,110,D,1,D,03,D,429,T,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05220063,5,0,1,200,D,1,D,04,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05222174,10,0,1,620,D,1,D,02,D,21,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
