QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOF,PROP0NOF,OWNYF,OWNYF_,NEWMRRT,NEWMRRT_,ORGMRTX,ORGMRTX_,QMRTTERM,QMRT_ERM,MRTPMTX,MRTPMTX_,PAYPROTX,PAYP_OTX,PAYPROIN,PAYP_OIN,PAYMORIN,PAYM_RIN,PAYOTHER,PAYO_HER,QESCROWX,QESC_OWX,QPRINM1X,QPRI_M1X,QPRINM2X,QPRI_M2X,QPRINM3X,QPRI_M3X,QADINT1X,QADI_T1X,QADINT2X,QADI_T2X,QADINT3X,QADI_T3X,QRFINDAT,QRFI_DAT,FRSTPYMO,FRST_YMO,FRSTPYYR,FRST_YYR,FIXEDRTE,FIXE_RTE,QNEWDATE,QNEW_ATE,QBLNCM1X,QBLN_M1X,QBLNCM2X,QBLN_M2X,QBLNCM3X,QBLN_M3X,LOAN_NOF,LOAN0NOF,VARRTE,VARRTE_,INTONLY,INTONLY_,OTHRTE,OTHRTE_,PAYMT1X,PAYMT1X_,PAYMT2X,PAYMT2X_,PAYMT3X,PAYMT3X_,PAYPRINI,PAYP_INI,PAYINT,PAYINT_,REFI,REFI_
20232,05090634,22,0,5,01,D,100,D,.0296,D,240792,D,30,D,1460,D,3,D,4,D,,A,,A,450,D,440,D,441,D,442,D,570,D,569,D,568,D,,A,02,D,2021,D,1,D,,A,230959,D,230518,D,230077,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20232,05090664,20,0,5,01,D,100,D,.0490,D,110000,D,30,D,900,D,3,D,4,D,5,D,,A,316,D,156,D,156,D,157,D,428,D,428,D,427,D,,A,02,D,2020,D,1,D,,A,104938,D,104783,D,104626,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20232,05090694,14,0,5,01,D,100,D,.0365,D,175535,D,30,D,1001,D,3,D,4,D,5,D,,A,198,D,391,D,392,D,393,D,412,D,411,D,410,D,,A,10,D,2012,D,1,D,,A,135470,D,135079,D,134687,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20232,05090704,12,0,5,01,D,100,D,.0700,D,80000,D,30,D,795,D,3,D,4,D,,A,,A,263,D,387,D,390,D,392,D,145,D,142,D,140,D,,A,07,D,1997,D,1,D,,A,24798,D,24411,D,24021,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20232,05091064,18,0,5,01,D,100,D,.0460,D,195000,D,30,D,1253,D,3,D,4,D,5,D,,A,253,D,259,D,260,D,261,D,741,D,740,D,739,D,,A,06,D,2022,D,1,D,,A,193212,D,192953,D,192692,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20232,05091114,29,0,5,01,D,100,D,.0534,D,135535,D,30,D,1001,D,3,D,4,D,5,D,,A,245,D,159,D,160,D,161,D,597,D,596,D,595,D,,A,04,D,2022,D,1,D,,A,134134,D,133975,D,133816,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20232,05091174,21,0,5,01,D,100,D,.0604,D,135000,D,30,D,1500,D,,B,,B,,B,,B,687,D,323,D,325,D,326,D,490,D,488,D,487,D,,A,05,D,2008,D,1,D,,A,97345,D,97022,D,96697,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20232,05091304,33,0,5,01,D,100,D,.0296,D,340000,F,30,F,2000,F,,B,,B,,B,,B,574,D,609,F,611,F,612,F,817,F,815,F,814,F,,A,10,F,2021,F,1,F,,A,331036,F,330427,F,329816,F,04,D,,A,,A,,A,,A,,A,,A,,C,,A,2,D
20232,05091364,13,0,5,01,D,100,D,.0735,D,61000,D,30,D,684,D,3,D,4,D,,A,,A,264,D,220,D,221,D,,A,200,D,199,D,,A,032023,D,10,D,2001,D,1,D,,A,32644,D,32424,D,,A,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20232,05091464,20,0,5,01,D,100,D,.0296,D,290419,D,15,D,2700,D,3,D,4,D,,A,,A,700,D,1339,D,1342,D,1345,D,661,D,658,D,655,D,,A,08,D,2021,D,1,D,,A,268161,D,266823,D,265481,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
