QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOB,PROP0NOB,OWNYB,OWNYB_,OBSNSZB,OBSNSZB_,PROPTYPE,PROP_YPE,ACQUIRMO,ACQU_RMO,ACQUIRYR,ACQU_RYR,OWN_PURX,OWN__URX,OWNDPMTX,OWND_MTX,CLOSECST,CLOS_CST,QADPTAX,QADPTAX_,TIMESHAR,TIME_HAR,SHARWKS,SHARWKS_,SHARED1,SHARED1_,SHARPER1,SHAR_ER1,SHARED2,SHARED2_,SHARPER2,SHAR_ER2,GIFTPROP,GIFT_ROP,BSNEXP2,BSNEXP2_,DEEDED,DEEDED_
20232,05090604,25,0,5,01,D,100,D,,A,3,D,,B,1987,D,,A,,A,,A,2500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05090634,21,0,5,01,D,100,D,,A,1,D,,B,2018,D,,A,,A,,A,4400,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05090664,19,0,5,01,D,100,D,,A,3,D,,B,2007,D,,A,,A,,A,1200,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05090694,13,0,5,01,D,100,D,,A,3,D,,B,2012,D,,A,,A,,A,3500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05090704,11,0,5,01,D,100,D,,A,3,D,,B,1997,D,,A,,A,,A,1700,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05090784,44,0,5,01,D,100,D,,A,3,D,,B,1988,D,,A,,A,,A,5500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05090784,45,0,5,02,D,300,D,,A,3,D,,B,2011,D,,A,,A,,A,2500,D,2,D,,A,,A,,A,1,D,0,D,,A,,A,,A
20232,05090824,24,0,5,01,D,100,D,,A,3,D,,B,1973,D,,A,,A,,A,1900,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05090844,30,0,5,01,D,100,D,,A,3,D,,B,1979,D,,A,,A,,A,6100,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05090914,19,0,5,01,D,100,D,,A,3,D,,B,1991,D,,A,,A,,A,2500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05091064,17,0,5,01,D,100,D,,A,3,D,03,D,2022,D,,A,,A,,A,2800,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05091114,27,0,5,01,D,100,D,,A,3,D,02,D,2022,D,,A,,A,,A,3100,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
