QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOD,PROP0NOD,OWNYD,OWNYD_,DISPMTHD,DISP_THD,DISPX,DISPX_,DISPEXPX,DISP_XPX,DISPMO,DISPMO_,DISPYR,DISPYR_
20232,05092274,17,0,1,02,D,300,D,1,D,540000,T,6500,D,03,D,2023,D
20232,05093114,17,0,1,01,D,200,D,1,D,626000,D,20000,D,01,D,2023,D
20232,05097144,11,0,1,01,D,100,D,3,D,,A,,A,03,D,2011,D
20232,05108014,52,0,1,05,D,400,D,1,D,54333,T,4336,D,04,D,2023,D
20232,05110514,20,0,1,02,D,300,D,1,D,,A,,A,05,D,2023,D
20232,05110754,31,0,1,03,D,200,D,1,D,330000,D,18000,D,03,D,2023,D
20232,05114804,20,0,1,01,D,200,D,3,D,,A,,A,05,D,2022,D
20232,05204293,29,0,1,02,D,400,D,1,D,,A,,A,01,D,2022,D
20232,05210513,16,0,1,02,D,300,D,1,D,66000,D,5200,D,03,D,2023,D
20232,05213123,14,0,1,01,D,200,D,1,D,595000,D,20000,F,03,D,2023,D
20232,05231503,36,0,1,02,D,200,D,1,D,320000,D,20000,D,03,D,2023,D
20232,05258922,25,0,1,02,D,300,D,3,D,,A,,A,03,D,2022,D
20232,05260672,17,0,1,02,D,200,D,1,D,206000,D,25000,D,03,D,2023,D
20232,05260672,18,0,1,03,D,200,D,1,D,208000,D,25000,D,03,D,2023,D
20232,05262622,17,0,2,02,D,300,D,1,D,540000,T,6500,F,01,D,2023,D
20232,05281222,29,0,2,01,D,200,D,1,D,225000,D,20000,D,03,D,2023,D
20232,05284552,52,0,1,02,D,300,D,3,D,,A,,A,04,D,2023,D
20232,05284552,53,0,1,03,D,300,D,3,D,,A,,A,05,D,2023,D
20232,05286991,15,0,1,02,D,400,D,1,D,54333,T,10000,D,03,D,2023,D
20232,05289201,20,0,1,02,D,200,D,1,D,150000,D,20000,F,01,D,2023,D
20232,05296761,31,0,1,03,D,400,D,1,D,,A,,A,01,D,2022,D
20232,05362231,31,0,1,02,D,300,D,3,D,,A,,A,03,D,2023,D
20232,05365131,33,0,1,01,D,200,D,3,D,,A,,A,04,D,2023,D
20232,05365541,9,0,1,01,D,200,D,1,D,60000,D,500,D,03,D,2023,D
20233,05203384,55,0,1,03,D,300,D,2,D,,A,,A,04,D,2023,D
20233,05209144,31,0,1,03,D,400,D,3,D,,A,,A,05,D,2023,D
20233,05228014,13,0,1,02,D,300,D,3,D,,A,,A,08,D,2023,D
20233,05233414,27,0,1,02,D,300,D,1,D,176503,D,1590,D,07,D,2023,D
20233,05264033,14,0,1,02,D,200,D,1,D,155000,D,9000,D,06,D,2023,D
20233,05264993,27,0,1,02,D,300,D,3,D,,A,,A,06,D,2023,D
20233,05276353,28,0,1,02,D,300,D,1,D,540000,T,22467,D,08,D,2023,D
20233,05277993,45,0,1,02,D,200,D,1,D,655667,T,13000,D,06,D,2023,D
20233,05278463,36,0,1,02,D,300,D,1,D,168000,D,14400,D,06,D,2023,D
20233,05291322,40,0,1,05,D,300,D,3,D,,A,,A,04,D,2023,D
20233,05292442,27,0,1,02,D,300,D,1,D,11000,D,13800,D,06,D,2023,D
20233,05292552,21,0,1,01,D,200,D,1,D,,A,,A,07,D,2020,D
20233,05295972,39,0,1,03,D,300,D,2,D,,A,,A,05,D,2023,D
20233,05344442,19,0,1,02,D,400,D,3,D,,A,,A,06,D,2023,D
20233,05348152,36,0,1,02,D,200,D,1,D,590000,D,4000,D,07,D,2023,D
20233,05348522,18,0,1,02,D,200,D,1,D,655667,T,15000,D,06,D,2023,D
20233,05348522,19,0,1,03,D,200,D,1,D,655667,T,15000,D,06,D,2023,D
20233,05353462,25,0,1,02,D,400,D,2,D,,A,,A,06,D,2023,D
20233,05360552,35,0,1,01,D,400,D,1,D,54333,V,1500,F,08,D,2023,D
20233,05415501,9,0,1,01,D,200,D,1,D,112000,D,20000,F,04,D,2023,D
20233,05423121,18,0,1,02,D,200,D,1,D,350000,D,18000,D,05,D,2023,D
20233,05423791,18,0,1,01,D,200,D,1,D,274000,D,20000,D,06,D,2023,D
20233,05429963,17,0,1,02,D,200,D,1,D,327000,D,20000,D,06,D,2023,D
20233,05432851,15,0,1,02,D,400,D,1,D,12000,D,1200,F,05,D,2023,D
20233,05437551,24,0,1,01,D,200,D,1,D,17000,D,0,D,07,D,2023,D
20234,05271944,23,0,1,02,D,200,D,1,D,780000,T,75000,D,08,D,2023,D
20234,05278564,24,0,1,02,D,200,D,1,D,60000,D,600,D,10,D,2023,D
20234,05280234,30,0,1,02,D,300,D,1,D,289333,T,25000,D,10,D,2023,D
20234,05296763,26,0,1,02,D,400,D,1,D,102500,T,5500,D,08,D,2023,D
20234,05345793,15,0,1,02,D,200,D,1,D,310000,D,0,D,09,D,2023,D
20234,05350693,45,0,1,02,D,300,D,3,D,,A,,A,08,D,2023,D
20234,05418162,29,0,1,03,D,400,D,1,D,,A,,A,07,D,2019,D
20234,05423352,38,0,1,02,D,400,D,1,D,,A,,A,08,D,2013,D
20234,05433042,18,0,1,02,D,200,D,1,D,228000,D,9000,F,08,D,2023,D
20234,05433042,19,0,1,03,D,200,D,3,D,,A,,A,09,D,2023,D
20234,05434634,18,0,1,02,D,200,D,3,D,,A,,A,09,D,2019,D
20234,05436982,30,0,1,02,D,400,D,3,D,,A,,A,10,D,2023,D
20234,05441502,17,0,1,02,D,300,D,3,D,,A,,A,12,D,2020,D
20234,05441962,81,0,1,02,D,200,D,1,D,346300,D,10389,D,10,D,2023,D
20234,05541442,25,0,1,02,D,200,D,1,D,270000,D,11000,F,08,D,2023,D
20234,05541761,14,0,1,02,D,300,D,1,D,289333,T,14000,D,08,D,2023,D
20234,05545541,58,0,1,03,D,200,D,1,D,780000,T,35000,D,09,D,2023,D
20234,05549214,9,0,1,02,D,200,D,1,D,780000,T,50000,D,08,D,2023,D
20234,05553492,15,0,1,03,D,200,D,1,D,340000,D,7000,D,08,D,2023,D
20234,05554621,15,0,1,02,D,200,D,1,D,264000,D,9000,D,09,D,2023,D
20234,05554921,26,0,1,01,D,200,D,1,D,136000,D,6000,D,08,D,2023,D
20234,05556691,12,0,1,02,D,200,D,1,D,780000,T,35000,F,10,D,2023,D
20234,05560861,26,0,1,02,D,200,D,1,D,129000,D,11000,D,09,D,2023,D
20241,05413093,7,0,1,01,D,200,D,1,D,375000,D,3150,F,12,D,2023,D
20241,05415214,35,0,1,02,D,200,D,1,D,,A,,A,11,D,2023,D
20241,05415214,36,0,1,05,D,200,D,2,D,,A,,A,10,D,2023,D
20241,05429673,27,0,1,02,D,200,D,3,D,,A,,A,01,D,2022,D
20241,05430473,20,0,1,02,D,200,D,3,D,,A,,A,12,D,2023,D
20241,05432043,40,0,1,02,D,300,D,1,D,289333,T,23000,D,12,D,2023,D
20241,05539042,26,0,2,03,D,400,D,1,D,102500,T,10000,D,10,D,2023,D
20241,05539692,44,0,1,02,D,200,D,1,D,,A,,A,11,D,2023,D
20241,05539692,45,0,1,03,D,200,D,1,D,,A,,A,11,D,2023,D
20241,05544992,15,0,1,01,D,400,D,1,D,102500,V,0,D,10,D,2023,D
20241,05548222,15,0,1,02,D,200,D,1,D,,A,,A,01,D,2023,D
20241,05558522,12,0,1,02,D,200,D,1,D,50000,D,3150,D,01,D,2024,D
20241,05561952,26,0,1,02,D,300,D,1,D,,A,,A,01,D,2023,D
20241,05563392,27,0,1,02,D,200,D,3,D,,A,,A,01,D,1999,D
20241,05576701,19,0,1,04,D,400,D,1,D,102500,T,7000,D,11,D,2023,D
