QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOH,PROP0NOH,OWNYH,OWNYH_,PAIDLOAN,PAID_OAN,PRIMPLUS,PRIM_LUS,JINTPDX,JINTPDX_,JLCPRINX,JLCP_INX,LOAN_NOH,LOAN0NOH,TOTOWED,TOTOWED_
20232,05090784,46,0,5,01,D,100,D,1,D,0.0966,D,4248,D,-879,D,01,D,175900,D
20232,05090824,25,0,5,01,D,100,D,1,D,0.0966,D,1280,D,-80,D,01,D,53000,D
20232,05091874,43,0,5,01,D,100,D,1,D,0.0966,D,676,D,824,D,01,D,28000,D
20232,05092144,24,0,5,01,D,100,D,1,D,0.0966,D,2343,D,430,D,01,D,97000,D
20232,05092164,37,0,5,01,D,100,D,1,D,0.0966,D,929,D,-312,D,01,D,38454,D
20232,05094414,22,0,5,01,D,100,D,1,D,0.0966,D,942,D,-42,D,01,D,39000,D
20232,05094734,23,0,5,01,D,100,D,1,D,0.0966,D,2124,D,3289,D,01,D,87951,D
20232,05094824,23,0,1,01,D,100,D,2,D,0.0966,D,,A,,A,01,D,0,D
20232,05096864,22,0,5,01,D,100,D,1,D,0.0966,D,700,D,8,D,01,D,29000,D
20232,05097034,33,0,5,01,D,100,D,1,D,0.0966,D,725,D,-188,D,01,D,30000,D
20232,05098044,50,0,5,01,D,100,D,1,D,0.0966,D,2029,D,7565,D,01,D,84000,D
20232,05098164,35,0,5,01,D,100,D,2,D,0.0966,D,,A,,A,01,D,0,D
20232,05099904,28,0,5,01,D,100,D,2,D,0.0966,D,,A,,A,01,D,0,D
20232,05100004,16,0,5,01,D,100,D,2,D,0.0966,D,,A,,A,01,D,46000,D
20232,05100054,28,0,5,01,D,100,D,1,D,0.0966,D,688,D,1512,D,01,D,28482,D
20232,05100374,21,0,5,01,D,100,D,1,D,0.0966,D,435,D,1065,D,01,D,18000,D
20232,05100574,22,0,5,01,D,100,D,2,D,0.0966,D,,A,,A,01,D,0,D
20232,05101154,20,0,5,01,D,100,D,1,D,0.0966,D,126,D,1374,D,01,D,5200,D
20232,05101504,40,0,5,01,D,100,D,2,D,0.0966,D,700,F,8,F,01,D,29000,F
20232,05105284,13,0,5,01,D,100,D,1,D,0.0966,D,290,D,214,D,01,D,12000,D
20232,05105534,52,0,5,01,D,100,D,1,D,0.0966,D,290,D,286,D,01,D,12000,D
20232,05106624,33,0,5,01,D,100,D,2,D,0.0966,D,,A,,A,01,D,0,D
20232,05106994,28,0,5,01,D,100,D,2,D,0.0966,D,,A,,A,01,D,0,D
20232,05107334,18,0,5,01,D,100,D,1,D,0.0966,D,664,F,-184,F,01,D,27500,F
20232,05108894,26,0,5,01,D,100,D,1,D,0.0966,D,1063,D,-163,D,01,D,44000,D
20232,05109634,43,0,5,01,D,100,D,1,D,0.0966,D,2222,D,-222,D,01,D,92000,D
20232,05110514,22,0,5,01,D,100,D,2,D,0.0966,D,894,F,1106,F,01,D,37000,F
20232,05111274,26,0,5,01,D,100,D,1,D,0.0966,D,1111,D,189,D,01,D,46000,D
20232,05111894,34,0,5,01,D,100,D,2,D,0.0966,D,,A,,A,01,D,0,D
20232,05112644,30,0,5,01,D,100,D,2,D,0.0966,D,,A,,A,01,D,0,D
20232,05113664,37,0,5,01,D,100,D,2,D,0.0966,D,,A,,A,01,D,0,D
20232,05114234,18,0,5,01,D,100,D,2,D,0.0966,D,,A,,A,01,D,0,D
20232,05114654,27,0,5,01,D,100,D,1,D,0.0966,D,459,D,79417,T,01,D,19000,D
20232,05114834,31,0,5,01,D,100,D,1,D,0.0966,D,391,D,-241,D,01,D,16200,D
20232,05115104,16,0,5,01,D,100,D,2,D,0.0966,D,,A,,A,01,D,0,D
20232,05115334,51,0,5,01,D,100,D,2,D,0.0966,D,,A,,A,01,D,0,D
20232,05117204,28,0,5,01,D,100,D,1,D,0.0966,D,242,D,283,D,01,D,10000,D
20232,05118034,21,0,5,01,D,100,D,1,D,0.0966,D,1932,D,-1707,D,01,D,80000,D
20232,05119634,30,0,5,01,D,100,D,2,D,0.0966,D,,A,,A,01,D,0,D
20232,05119914,29,0,5,01,D,100,D,2,D,0.0966,D,,A,,A,01,D,0,D
20232,05120384,22,0,5,01,D,100,D,1,D,0.0966,D,1787,D,163,D,01,D,74000,D
20232,05120714,23,0,5,01,D,100,D,1,D,0.0966,D,196,D,1004,D,01,D,8100,D
20232,05122154,25,0,5,01,D,100,D,1,D,0.0966,D,942,D,98,D,01,D,39000,D
20232,05122404,34,0,5,01,D,100,D,1,D,0.0966,D,2318,D,2782,D,01,D,96000,D
20232,05123294,37,0,5,01,D,100,D,1,D,0.0966,D,1328,D,3172,D,01,D,55000,D
20232,05124014,33,0,5,01,D,100,D,2,D,0.0966,D,,A,,A,01,D,0,D
20232,05124314,26,0,5,01,D,100,D,1,D,0.0966,D,521,D,-95,D,01,D,21594,D
20232,05203043,33,0,5,01,D,100,D,2,D,0.0966,D,2222,F,-222,F,01,D,92000,F
20232,05203213,28,0,5,01,D,100,D,1,D,0.0966,D,913,D,587,D,01,D,37800,D
20232,05204293,32,0,5,01,D,100,D,2,D,0.0966,D,929,F,-312,F,01,D,38454,F
20232,05204613,32,0,5,01,D,100,D,1,D,0.0966,D,1473,D,4633,D,01,D,61000,D
20232,05205783,27,0,5,01,D,100,D,2,D,0.0966,D,,A,,A,01,D,0,D
20232,05205953,29,0,5,01,D,100,D,2,D,0.0966,D,,A,,A,01,D,160000,D
20232,05206523,19,0,1,01,D,100,D,1,D,0.0966,D,2487,D,-42,D,01,D,103000,D
20232,05207583,42,0,5,01,D,100,D,1,D,0.0966,D,5555,D,-287,D,01,D,230000,D
20232,05208653,14,0,5,01,D,100,D,2,D,0.0966,D,653,F,1360,F,01,D,27033,F
20232,05208703,34,0,5,01,D,100,D,2,D,0.0966,D,,A,,A,01,D,0,D
20232,05210623,38,0,5,01,D,100,D,1,D,0.0966,D,2874,D,126,D,01,D,119000,D
20232,05213603,29,0,5,01,D,100,D,1,D,0.0966,D,845,D,2155,D,01,D,35000,D
20232,05213603,31,0,5,02,D,300,D,1,D,0.0966,D,1009,D,,T,01,D,,T
20232,05214353,23,0,5,01,D,100,D,1,D,0.0966,D,411,D,-51,D,01,D,17000,D
20232,05215183,44,0,5,01,D,100,D,1,D,0.0966,D,1372,D,884,D,01,D,56800,D
20232,05215793,29,0,5,01,D,100,D,2,D,0.0966,D,,A,,A,01,D,32000,D
20232,05216973,13,0,5,01,D,100,D,1,D,0.0966,D,80,D,2020,D,01,D,3300,D
20232,05216993,25,0,5,01,D,100,D,2,D,0.0966,D,,A,,A,01,D,0,D
20232,05217293,35,0,5,01,D,100,D,1,D,0.0966,D,1949,D,4051,D,01,D,80700,D
20232,05217403,34,0,5,01,D,100,D,1,D,0.0966,D,725,D,2275,D,01,D,30000,D
20232,05217713,20,0,5,01,D,100,D,1,D,0.0966,D,555,D,135,D,01,D,23000,D
20232,05217773,34,0,5,01,D,100,D,1,D,0.0966,D,2294,D,556,D,01,D,95000,D
20232,05218543,17,0,5,01,D,100,D,1,D,0.0966,D,610,D,470,D,01,D,25260,D
20232,05219183,28,0,5,01,D,100,D,1,D,0.0966,D,157,D,61,D,01,D,6500,D
20232,05220173,28,0,5,01,D,100,D,1,D,0.0966,D,1932,D,1068,D,01,D,80000,D
20232,05220223,16,0,5,01,D,100,D,2,D,0.0966,D,,A,,A,01,D,3000,D
20232,05220553,29,0,5,01,D,100,D,1,D,0.0966,D,652,D,113,D,01,D,27000,D
20232,05220913,21,0,1,01,D,100,D,1,D,0.0966,D,1903,F,5597,F,01,D,78800,F
20232,05221153,22,0,5,01,D,100,D,1,D,0.0966,D,1232,D,-632,D,01,D,51000,D
20232,05221513,18,0,5,01,D,100,D,2,D,0.0966,D,338,F,262,F,01,D,14000,F
