QYEAR,NEWID,MEMBNO,SEQNO,ALCNO,REC_ORIG,PBTPD,PBTPD_,PBTDAYX,PBTDAYX_,JPBTAMTX,JPBT_MTX
20232,05091034,1,9,0,1,3,D,,A,90,D
20232,05091454,1,11,0,1,3,D,,A,336,D
20232,05091584,1,19,0,1,3,D,,A,180,D
20232,05091814,1,16,0,1,7,D,,A,35,D
20232,05092704,1,5,0,1,3,D,,A,300,D
20232,05093494,1,15,0,1,3,D,,A,381,D
20232,05093494,2,16,0,1,3,D,,A,60,D
20232,05094234,1,25,0,1,4,D,,A,5,D
20232,05094544,3,19,0,1,2,D,,A,260,D
20232,05094684,2,9,0,1,3,D,,A,60,D
20232,05096464,1,18,0,1,3,D,,A,75,D
20232,05096464,2,19,0,1,3,D,,A,75,D
20232,05096684,1,30,0,1,3,D,,A,90,D
20232,05097334,1,35,0,1,7,D,,A,5,D
20232,05097334,2,36,0,1,7,D,,A,5,D
20232,05097374,1,8,0,1,3,D,,A,30,D
20232,05097944,1,8,0,1,3,D,,A,150,D
20232,05098094,1,11,0,1,7,D,,A,2,D
20232,05098464,1,21,0,1,2,D,,A,26,D
20232,05098464,5,22,0,1,1,D,5,D,260,D
20232,05098694,2,18,0,1,2,D,,A,910,D
20232,05098814,1,15,0,1,,A,,A,127,F
20232,05099144,1,28,0,1,3,D,,A,60,D
20232,05099944,1,36,0,1,7,D,,A,100,D
20232,05099944,2,37,0,1,7,D,,A,100,D
20232,05099944,3,38,0,1,7,D,,A,100,D
20232,05100174,1,11,0,1,2,D,,A,52,D
20232,05100944,1,10,0,1,3,D,,A,87,D
20232,05100994,1,43,0,1,4,D,,A,20,D
20232,05101594,1,10,0,1,5,D,,A,2,D
20232,05102584,2,49,0,1,3,D,,A,180,D
20232,05102584,3,50,0,1,3,D,,A,360,D
20232,05103134,1,32,0,1,,A,,A,317,F
20232,05103134,2,33,0,1,,A,,A,317,F
20232,05103134,3,34,0,1,,A,,A,317,F
20232,05103134,4,35,0,1,,A,,A,317,F
20232,05103384,1,33,0,1,3,D,,A,15,D
20232,05103394,2,41,0,1,7,D,,A,40,D
20232,05104044,1,20,0,1,2,D,,A,780,D
20232,05104144,31,21,0,1,3,D,,A,135,D
20232,05104254,1,10,0,1,2,D,,A,260,D
20232,05104484,1,13,0,1,6,D,,A,25,D
20232,05104574,1,25,0,1,4,D,,A,5,D
20232,05104644,1,39,0,1,7,D,,A,20,D
20232,05105174,1,17,0,1,3,D,,A,390,D
20232,05105174,2,18,0,1,3,D,,A,390,D
20232,05105344,1,28,0,1,3,D,,A,381,D
20232,05105344,2,29,0,1,3,D,,A,381,D
20232,05105344,3,30,0,1,3,D,,A,381,D
20232,05106234,2,14,0,1,2,D,,A,351,D
20232,05106554,1,6,0,1,4,D,,A,75,D
20232,05107644,1,26,0,1,4,D,,A,35,D
20232,05108314,1,6,0,1,2,D,,A,104,D
20232,05108584,1,15,0,1,2,D,,A,650,D
20232,05108584,2,16,0,1,2,D,,A,650,D
20232,05108584,3,17,0,1,3,D,,A,75,D
20232,05109064,1,58,0,1,3,D,,A,30,D
20232,05109064,2,59,0,1,3,D,,A,30,D
20232,05109634,1,53,0,1,4,D,,A,5,D
20232,05110244,2,16,0,1,7,D,,A,6,D
20232,05110244,3,17,0,1,2,D,,A,364,D
20232,05110754,2,37,0,1,3,D,,A,96,D
20232,05111124,1,11,0,1,3,D,,A,27,D
20232,05111124,2,12,0,1,3,D,,A,27,D
20232,05111804,1,11,0,1,4,D,,A,10,D
20232,05112794,1,5,0,1,2,D,,A,156,D
20232,05113134,1,11,0,1,7,D,,A,20,D
20232,05113504,1,10,0,1,3,D,,A,90,D
20232,05113864,1,23,0,1,3,D,,A,108,D
20232,05113874,1,31,0,1,3,D,,A,60,D
20232,05114194,1,8,0,1,7,D,,A,10,D
20232,05114684,1,26,0,1,7,D,,A,5,D
20232,05115234,1,32,0,1,3,D,,A,165,D
20232,05115704,1,32,0,1,4,D,,A,17,D
20232,05115714,1,26,0,1,3,D,,A,90,D
20232,05115714,2,27,0,1,3,D,,A,60,D
20232,05115864,2,18,0,1,3,D,,A,105,D
20232,05115914,2,17,0,1,2,D,,A,520,D
20232,05116624,1,24,0,1,3,D,,A,15,D
20232,05116654,2,32,0,1,3,D,,A,120,D
20232,05117394,1,14,0,1,7,D,,A,5,D
20232,05117744,1,16,0,1,4,D,,A,375,D
20232,05117744,2,17,0,1,4,D,,A,375,D
20232,05117744,3,18,0,1,,A,,A,191,F
20232,05117924,1,33,0,1,3,D,,A,180,D
20232,05117924,2,34,0,1,3,D,,A,60,D
20232,05117954,1,29,0,1,2,D,,A,65,D
20232,05118214,1,8,0,1,3,D,,A,15,D
20232,05118394,1,42,0,1,3,D,,A,30,D
20232,05118504,1,13,0,1,4,D,,A,25,D
20232,05118884,1,28,0,1,3,D,,A,66,D
20232,05118884,2,29,0,1,3,D,,A,69,D
20232,05119214,1,15,0,1,3,D,,A,363,D
20232,05119944,1,11,0,1,3,D,,A,411,D
20232,05119944,2,12,0,1,3,D,,A,411,D
20232,05119944,3,13,0,1,3,D,,A,411,D
20232,05119944,4,14,0,1,3,D,,A,411,D
20232,05119944,5,15,0,1,3,D,,A,411,D
20232,05121024,1,60,0,1,3,D,,A,1050,D
20232,05121024,2,61,0,1,3,D,,A,1050,D
20232,05121724,2,16,0,1,3,D,,A,60,D
20232,05121904,1,20,0,1,4,D,,A,200,D
20232,05122404,1,36,0,1,3,D,,A,108,D
20232,05122844,1,9,0,1,2,D,,A,78,D
20232,05124014,2,35,0,1,,A,,A,137,F
20232,05124384,31,31,0,1,7,D,,A,197,D
20232,05124404,1,32,0,1,7,D,,A,5,D
20232,05124404,2,33,0,1,7,D,,A,5,D
20232,05124404,3,34,0,1,7,D,,A,5,D
20232,05124404,4,35,0,1,7,D,,A,5,D
20232,05124464,2,31,0,1,4,D,,A,25,D
20232,05124464,3,32,0,1,4,D,,A,25,D
20232,05125214,1,29,0,1,7,D,,A,7,D
20232,05125214,2,30,0,1,7,D,,A,7,D
20232,05201603,1,16,0,1,7,D,,A,5,D
20232,05201813,1,33,0,1,7,D,,A,40,D
20232,05201953,1,13,0,1,3,D,,A,75,D
20232,05201953,2,14,0,1,3,D,,A,75,D
