QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,S17CODEA,S17C_DEA,S17GFTCA,S17G_TCA,SUBEXPX,SUBEXPX_,SUBMO,SUBMO_,SUBPURCH
20232,05090604,33,0,1,820,D,1,D,95,D,01,D,
20232,05090604,34,0,1,820,D,1,D,95,D,02,D,
20232,05090604,35,0,1,355,D,1,D,15,D,01,D,
20232,05090634,27,0,1,830,D,1,D,13,D,13,D,
20232,05090634,28,0,1,830,D,1,D,60,D,13,D,
20232,05090634,29,0,1,840,D,1,D,140,D,03,D,
20232,05090634,30,0,1,930,D,1,D,35,D,13,D,
20232,05090634,31,0,1,520,D,1,D,20,D,01,D,
20232,05090634,32,0,1,530,D,1,D,55,D,03,D,
20232,05090634,33,0,1,530,D,1,D,50,D,01,D,
20232,05090634,34,0,1,355,D,1,D,5,D,13,D,
20232,05090674,22,0,1,500,D,1,D,600,D,03,D,
20232,05090674,23,0,1,330,D,1,D,10,D,13,D,
20232,05090674,24,0,1,355,D,1,D,50,D,13,D,4
20232,05090694,22,0,1,810,D,1,D,35,D,02,D,
20232,05090724,12,0,1,830,D,1,D,20,D,13,D,
20232,05090724,13,0,1,100,D,1,D,75,D,13,D,
20232,05090724,14,0,1,520,D,1,D,10,D,13,D,
20232,05090724,15,0,1,330,D,1,D,10,D,13,D,
20232,05090764,31,0,1,830,D,1,D,635,D,01,D,1
20232,05090764,32,0,1,830,D,1,D,460,D,02,D,1
20232,05090764,33,0,1,830,D,1,D,580,D,03,D,1
20232,05090764,34,0,1,820,D,1,D,95,D,03,D,
20232,05090764,35,0,1,820,D,1,D,153,D,03,D,
20232,05090764,36,0,1,150,D,1,D,60,D,02,D,3
20232,05090764,37,0,1,150,D,1,D,12,D,13,D,1
20232,05090764,38,0,1,150,D,1,D,22,D,13,D,3
20232,05090764,39,0,1,150,D,1,D,37,D,13,D,1
20232,05090784,9,0,1,400,D,2,D,1,D,01,D,1
20232,05090784,51,0,1,210,D,1,D,16,D,13,D,
20232,05090784,52,0,1,210,D,1,D,11,D,13,D,
20232,05090784,53,0,1,330,D,1,D,10,D,03,D,
20232,05090784,54,0,1,700,D,1,D,23,D,01,D,
20232,05090784,55,0,1,700,D,1,D,23,D,02,D,
20232,05090784,56,0,1,700,D,1,D,25,D,03,D,
20232,05090784,57,0,1,355,D,1,D,17,D,13,D,
20232,05090784,661,0,1,400,D,2,D,1,D,02,D,1
20232,05090784,662,0,1,400,D,2,D,1,D,03,D,1
20232,05090824,30,0,1,840,D,1,D,15,D,13,D,
20232,05090824,31,0,1,330,D,1,D,10,D,13,D,
20232,05090834,10,0,1,355,D,1,D,16,D,13,D,
20232,05090834,11,0,1,355,D,1,D,8,D,13,D,
20232,05090844,38,0,1,520,D,1,D,12,D,02,D,
20232,05090844,39,0,1,150,D,1,D,59,D,01,D,
20232,05090844,40,0,1,150,D,1,D,59,D,03,D,
20232,05090854,14,0,1,150,D,1,D,12,D,13,D,
20232,05090904,34,0,1,840,D,1,D,16,D,13,D,
20232,05090904,35,0,1,210,D,1,D,16,D,13,D,
20232,05090904,36,0,1,310,D,1,D,21,D,02,D,1
20232,05090904,37,0,1,320,D,1,D,14,D,01,D,
20232,05090904,38,0,1,320,D,1,D,14,D,02,D,
20232,05090904,39,0,1,320,D,1,D,14,D,03,D,
20232,05090904,40,0,1,340,D,1,D,43,D,03,D,
20232,05090904,41,0,1,355,D,1,D,12,D,13,D,
20232,05090904,42,0,1,355,D,1,D,16,D,13,D,
20232,05090904,43,0,1,355,D,1,D,17,D,13,D,
20232,05090904,44,0,2,355,D,1,D,12,D,01,D,
20232,05090914,27,0,1,600,D,1,D,120,D,02,D,
20232,05090914,28,0,1,600,D,1,D,120,D,03,D,
20232,05091094,10,0,1,840,D,1,D,10,D,13,D,
20232,05091094,11,0,1,150,D,1,D,6,D,13,D,
20232,05091094,12,0,1,330,D,1,D,6,D,13,D,
20232,05091094,13,0,1,320,D,1,D,35,D,01,D,1
20232,05091094,14,0,1,320,D,1,D,35,D,02,D,1
20232,05091094,15,0,1,320,D,1,D,35,D,03,D,1
20232,05091094,16,0,1,355,D,1,D,16,D,13,D,1
20232,05091094,17,0,1,355,D,1,D,5,D,13,D,1
20232,05091114,36,0,1,330,D,1,D,15,D,13,D,
20232,05091124,22,0,1,830,D,1,D,10,D,13,D,
20232,05091174,26,0,1,100,D,1,D,60,D,13,D,
20232,05091174,27,0,1,840,D,1,D,20,D,13,D,
20232,05091174,28,0,1,840,D,1,D,150,D,01,D,
20232,05091174,29,0,1,500,D,1,D,259,D,03,D,
20232,05091174,30,0,1,500,D,1,D,200,D,02,D,
20232,05091174,31,0,1,150,D,1,D,21,D,13,D,
20232,05091214,29,0,1,500,D,1,D,240,D,02,D,
20232,05091214,30,0,1,500,D,1,D,7,D,03,D,
20232,05091214,31,0,1,150,D,1,D,43,D,13,D,
20232,05091214,32,0,1,355,D,1,D,10,D,13,D,
20232,05091294,32,0,1,610,D,1,D,40,D,02,D,
20232,05091294,33,0,1,610,D,1,D,40,D,03,D,
20232,05091294,34,0,1,600,D,1,D,20,D,03,D,
20232,05091294,35,0,1,330,D,1,D,18,D,13,D,
20232,05091294,36,0,1,355,D,1,D,9,D,13,D,
20232,05091294,37,0,1,355,D,1,D,16,D,13,D,
20232,05091294,38,0,1,355,D,1,D,20,D,13,D,
20232,05091304,40,0,1,800,D,1,D,15,D,13,D,
20232,05091304,41,0,1,820,D,1,D,196,D,01,D,
20232,05091304,42,0,1,160,D,1,D,6,D,13,D,
20232,05091324,25,0,1,830,D,1,D,113,D,13,D,
20232,05091324,26,0,1,840,D,1,D,10,D,13,D,
20232,05091324,27,0,1,700,D,1,D,10,D,13,D,1
20232,05091364,20,0,1,330,D,1,D,10,D,13,D,
20232,05091364,21,0,1,355,D,1,D,50,D,13,D,
20232,05091404,19,0,1,840,D,1,D,130,D,01,D,1
20232,05091404,20,0,1,150,D,1,D,70,D,01,D,1
20232,05091464,30,0,1,610,D,1,D,125,D,02,D,2
20232,05091464,31,0,2,830,D,1,D,125,D,01,D,
20232,05091544,33,0,1,330,D,1,D,10,D,13,D,
20232,05091544,34,0,1,355,D,1,D,32,D,13,D,
20232,05091584,21,0,1,150,D,1,D,4,D,13,D,
20232,05091584,22,0,1,150,D,1,D,15,D,13,D,
20232,05091584,23,0,1,520,D,1,D,100,D,01,D,
20232,05091584,24,0,1,520,D,1,D,100,D,02,D,
20232,05091584,25,0,1,520,D,1,D,100,D,03,D,
20232,05091584,26,0,1,355,D,1,D,10,D,13,D,
20232,05091584,27,0,1,310,D,1,D,350,D,02,D,
20232,05091624,21,0,1,840,D,1,D,99,D,03,D,
