QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,NUMYUPD,NUMYUPD_,TOTYUPDX,TOTY_PDX,TOTYUPDY,TOTY_PDY
20232,05091454,13,0,1,1,D,,H,,A
20232,05091454,13,1,1,,A,34,E,100,D
20232,05091454,13,2,1,,A,20,E,110,D
20232,05091454,13,3,1,,A,38,E,210,D
20232,05091964,26,0,1,1,D,,H,,A
20232,05091964,26,1,1,,A,22,E,100,D
20232,05091964,26,2,1,,A,8,E,110,D
20232,05092274,39,0,1,2,D,,H,,A
20232,05092274,39,1,1,,A,73,E,100,D
20232,05092274,39,2,1,,A,27,E,110,D
20232,05095354,20,0,1,1,D,,H,,A
20232,05095354,20,1,1,,A,183,E,100,D
20232,05095354,20,2,1,,A,56,E,110,D
20232,05095354,20,3,1,,A,93,E,120,D
20232,05095354,20,4,1,,A,24,E,140,D
20232,05095354,20,5,1,,A,1384,E,150,D
20232,05095354,20,6,1,,A,9,E,160,D
20232,05095354,20,7,1,,A,369,E,180,D
20232,05095354,20,8,1,,A,141,E,190,D
20232,05095354,20,9,1,,A,180,E,210,D
20232,05095354,20,10,1,,A,61,E,220,D
20232,05095844,25,0,1,1,D,,H,,A
20232,05095844,25,1,1,,A,136,E,100,D
20232,05095844,25,2,1,,A,72,E,110,D
20232,05095844,25,3,1,,A,92,E,120,D
20232,05096564,39,0,1,1,D,,H,,A
20232,05096564,39,1,1,,A,25,E,100,D
20232,05096564,39,2,1,,A,11,E,110,D
20232,05096564,39,3,1,,A,15,E,120,D
20232,05096564,39,4,1,,A,2,E,140,D
20232,05096564,39,5,1,,A,183,E,150,D
20232,05096564,39,6,1,,A,6,E,180,D
20232,05096564,39,7,1,,A,8,E,190,D
20232,05096684,39,0,1,1,D,,H,,A
20232,05096684,39,1,1,,A,37,E,100,D
20232,05096684,39,2,1,,A,13,E,110,D
20232,05098674,45,0,1,1,D,,H,,A
20232,05098674,45,1,1,,A,98,E,100,D
20232,05098674,45,2,1,,A,35,E,110,D
20232,05098674,45,3,1,,A,33,E,120,D
20232,05098674,45,4,1,,A,4,E,140,D
20232,05098674,45,5,1,,A,284,E,150,D
20232,05098674,45,6,1,,A,99,E,160,D
20232,05098674,45,7,1,,A,29,E,190,D
20232,05098674,45,8,1,,A,18,E,210,D
20232,05099004,24,0,1,1,D,,H,,A
20232,05099004,24,1,1,,A,457,E,100,D
20232,05099004,24,2,1,,A,243,E,110,D
20232,05099944,55,0,1,1,D,,H,,A
20232,05099944,55,1,1,,A,471,E,100,D
20232,05099944,55,2,1,,A,179,E,110,D
20232,05100814,24,0,1,4,D,,H,,A
20232,05100814,24,1,1,,A,143,E,100,D
20232,05100814,24,2,1,,A,57,E,110,D
20232,05100934,31,0,1,1,D,,H,,A
20232,05100934,31,1,1,,A,21,E,210,D
20232,05100934,31,2,1,,A,29,E,220,D
20232,05102584,56,0,1,1,D,,H,,A
20232,05102584,56,1,1,,A,34,E,100,D
20232,05102584,56,2,1,,A,12,E,110,D
20232,05102584,56,3,1,,A,11,E,120,D
20232,05102584,56,4,1,,A,1,E,140,D
20232,05102584,56,5,1,,A,98,E,150,D
20232,05102584,56,6,1,,A,34,E,160,D
20232,05102584,56,7,1,,A,10,E,190,D
20232,05102724,12,0,1,1,D,,H,,A
20232,05102724,12,1,1,,A,111,E,100,D
20232,05102724,12,2,1,,A,115,E,120,D
20232,05102724,12,3,1,,A,1186,E,130,D
20232,05102724,12,4,1,,A,759,E,150,D
20232,05102724,12,5,1,,A,6,E,160,D
20232,05102724,12,6,1,,A,6,E,170,D
20232,05102724,12,7,1,,A,17,E,190,D
20232,05104204,42,0,1,1,D,,H,,A
20232,05104204,42,1,1,,A,159,E,100,D
20232,05104204,42,2,1,,A,66,E,110,D
20232,05106734,43,0,1,1,D,,H,,A
20232,05106734,43,1,1,,A,66,E,100,D
20232,05106734,43,2,1,,A,26,E,110,D
20232,05106734,43,3,1,,A,19,E,210,D
20232,05106734,43,4,1,,A,23,E,220,D
20232,05107364,18,0,1,1,D,,H,,A
20232,05107364,18,1,1,,A,337,E,100,D
20232,05107364,18,2,1,,A,104,E,110,D
20232,05107364,18,3,1,,A,199,E,120,D
20232,05107364,18,4,1,,A,29,E,140,D
20232,05107364,18,5,1,,A,2380,E,150,D
20232,05107364,18,6,1,,A,88,E,180,D
20232,05107364,18,7,1,,A,113,E,190,D
20232,05111094,28,0,1,3,D,,H,,A
20232,05111094,28,1,1,,A,148,E,100,D
20232,05111094,28,2,1,,A,52,E,110,D
20232,05111414,29,0,1,1,D,,H,,A
20232,05111414,29,1,1,,A,324,E,100,D
20232,05111414,29,2,1,,A,100,E,110,D
20232,05111414,29,3,1,,A,442,E,210,D
20232,05111414,29,4,1,,A,134,E,220,D
20232,05112724,18,0,1,1,D,,H,,A
20232,05112724,18,1,1,,A,130,E,100,D
20232,05112724,18,2,1,,A,20,E,110,D
20232,05116624,25,0,1,1,D,,H,,A
20232,05116624,25,1,1,,A,25,E,210,D
20232,05116624,25,2,1,,A,31,E,220,D
20232,05117744,20,0,1,1,D,,H,,A
20232,05117744,20,1,1,,A,54,E,100,D
20232,05117744,20,2,1,,A,16,E,110,D
20232,05117744,20,3,1,,A,32,E,120,D
20232,05117744,20,4,1,,A,222,E,130,D
20232,05117744,20,5,1,,A,4,E,140,D
20232,05117744,20,6,1,,A,387,E,150,D
20232,05117744,20,7,1,,A,14,E,180,D
20232,05117744,20,8,1,,A,18,E,190,D
20232,05117744,20,9,1,,A,81,E,210,D
20232,05117744,20,10,1,,A,22,E,220,D
20232,05118504,18,0,1,1,D,,H,,A
20232,05118504,18,1,1,,A,57,E,100,D
20232,05118504,18,2,1,,A,19,E,110,D
20232,05118504,18,3,1,,A,234,E,130,D
20232,05119164,16,0,1,1,D,,H,,A
20232,05119164,16,1,1,,A,43,E,100,D
20232,05119164,16,2,1,,A,23,E,110,D
20232,05119164,16,3,1,,A,30,E,120,D
20232,05119164,16,4,1,,A,904,E,130,D
20232,05119434,51,0,1,1,D,,H,,A
20232,05119434,51,1,1,,A,107,E,100,D
20232,05119434,51,2,1,,A,43,E,110,D
20232,05119594,18,0,1,1,D,,H,,A
20232,05119594,18,1,1,,A,329,E,100,D
20232,05119594,18,2,1,,A,52,E,110,D
20232,05119594,18,3,1,,A,100,E,120,D
20232,05119594,18,4,1,,A,417,E,130,D
20232,05119594,18,5,1,,A,4,E,140,D
20232,05119594,18,6,1,,A,967,E,150,D
20232,05119594,18,7,1,,A,31,E,190,D
20232,05121144,37,0,1,1,D,,H,,A
20232,05121144,37,1,1,,A,3328,E,100,D
20232,05121144,37,2,1,,A,1272,E,110,D
20232,05121554,25,0,1,1,D,,H,,A
20232,05121554,25,1,1,,A,79,E,100,D
