QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,TRNONCUX,TRNO_CUX,TRNONCUY,TRNO_CUY
20232,05093794,20,0,1,,H,,A
20232,05093794,20,1,1,100,E,120,D
20232,05093794,20,2,1,13,E,140,D
20232,05093794,20,3,1,791,E,150,D
20232,05093794,20,4,1,92,E,160,D
20232,05093794,20,5,1,55,E,170,D
20232,05093794,20,6,1,49,E,180,D
20232,05093794,20,7,1,100,E,190,D
20232,05094104,59,0,1,,H,,A
20232,05094104,59,1,1,86,E,120,D
20232,05094104,59,2,1,11,E,140,D
20232,05094104,59,3,1,906,E,150,D
20232,05094104,59,4,1,72,E,160,D
20232,05094104,59,5,1,35,E,170,D
20232,05094104,59,6,1,54,E,180,D
20232,05094104,59,7,1,136,E,190,D
20232,05095084,18,0,1,,H,,A
20232,05095084,18,1,1,496,E,100,D
20232,05095084,18,2,1,113,E,110,D
20232,05095084,18,3,1,791,E,130,D
20232,05095224,37,0,1,,H,,A
20232,05095224,37,1,1,99,E,120,D
20232,05095224,37,2,1,12,E,140,D
20232,05095224,37,3,1,1043,E,150,D
20232,05095224,37,4,1,83,E,160,D
20232,05095224,37,5,1,40,E,170,D
20232,05095224,37,6,1,62,E,180,D
20232,05095224,37,7,1,161,E,190,D
20232,05097934,50,0,1,,H,,A
20232,05097934,50,1,1,709,E,100,D
20232,05097934,50,2,1,136,E,110,D
20232,05097934,50,3,1,1255,E,130,D
20232,05099314,19,0,1,,H,,A
20232,05099314,19,1,1,41,E,120,D
20232,05099314,19,2,1,5,E,140,D
20232,05099314,19,3,1,348,E,150,D
20232,05099314,19,4,1,31,E,160,D
20232,05099314,19,5,1,12,E,170,D
20232,05099314,19,6,1,85,E,180,D
20232,05099314,19,7,1,78,E,190,D
20232,05103564,28,0,1,,H,,A
20232,05103564,28,1,1,34,E,120,D
20232,05103564,28,2,1,5,E,140,D
20232,05103564,28,3,1,317,E,150,D
20232,05103564,28,4,1,23,E,160,D
20232,05103564,28,5,1,9,E,170,D
20232,05103564,28,6,1,34,E,190,D
20232,05103564,28,7,1,46,E,210,D
20232,05103564,28,8,1,32,E,220,D
20232,05105894,37,0,1,,H,,A
20232,05105894,37,1,1,90,E,120,D
20232,05105894,37,2,1,11,E,140,D
20232,05105894,37,3,1,678,E,150,D
20232,05105894,37,4,1,79,E,160,D
20232,05105894,37,5,1,47,E,170,D
20232,05105894,37,6,1,42,E,180,D
20232,05105894,37,7,1,82,E,190,D
20232,05106254,31,0,1,,H,,A
20232,05106254,31,1,1,237,E,100,D
20232,05106254,31,2,1,63,E,110,D
20232,05107414,46,0,1,,H,,A
20232,05107414,46,1,1,107,E,120,D
20232,05107414,46,2,1,14,E,140,D
20232,05107414,46,3,1,824,E,150,D
20232,05107414,46,4,1,96,E,160,D
20232,05107414,46,5,1,58,E,170,D
20232,05107414,46,6,1,51,E,180,D
20232,05107414,46,7,1,100,E,190,D
20232,05108014,78,0,1,,H,,A
20232,05108014,78,1,1,178,E,100,D
20232,05108014,78,2,1,74,E,110,D
20232,05108014,78,3,1,93,E,120,D
20232,05108014,78,4,1,14,E,140,D
20232,05108014,78,5,1,369,E,150,D
20232,05108014,78,6,1,176,E,160,D
20232,05108014,78,7,1,87,E,170,D
20232,05108014,78,8,1,458,E,180,D
20232,05108014,78,9,1,51,E,190,D
20232,05108264,59,0,1,,H,,A
20232,05108264,59,1,1,114,E,120,D
20232,05108264,59,2,1,632,E,130,D
20232,05108264,59,3,1,15,E,140,D
20232,05108264,59,4,1,904,E,150,D
20232,05108264,59,5,1,106,E,160,D
20232,05108264,59,6,1,63,E,170,D
20232,05108264,59,7,1,56,E,180,D
20232,05108264,59,8,1,110,E,190,D
20232,05112834,15,0,1,,H,,A
20232,05112834,15,1,1,115,E,100,D
20232,05112834,15,2,1,25,E,110,D
20232,05112834,15,3,1,58,E,120,D
20232,05112834,15,4,1,233,E,130,D
20232,05112834,15,5,1,5,E,140,D
20232,05112834,15,6,1,466,E,150,D
20232,05112834,15,7,1,25,E,160,D
20232,05112834,15,8,1,130,E,180,D
20232,05112834,15,9,1,43,E,190,D
20232,05115144,24,0,1,,H,,A
20232,05115144,24,1,1,39,E,120,D
20232,05115144,24,2,1,6,E,140,D
20232,05115144,24,3,1,376,E,150,D
20232,05115144,24,4,1,28,E,160,D
20232,05115144,24,5,1,10,E,170,D
20232,05115144,24,6,1,41,E,190,D
20232,05117854,25,0,1,,H,,A
20232,05117854,25,1,1,57,E,100,D
20232,05117854,25,2,1,12,E,110,D
20232,05117854,25,3,1,18,E,120,D
20232,05117854,25,4,1,85,E,130,D
20232,05117854,25,5,1,3,E,140,D
20232,05117854,25,6,1,187,E,150,D
20232,05117854,25,7,1,13,E,160,D
20232,05117854,25,8,1,5,E,170,D
20232,05117854,25,9,1,20,E,190,D
20232,05118884,35,0,1,,H,,A
20232,05118884,35,1,1,2249,E,100,D
20232,05118884,35,2,1,429,E,110,D
20232,05118884,35,3,1,640,E,120,D
20232,05118884,35,4,1,3973,E,130,D
20232,05118884,35,5,1,82,E,140,D
20232,05118884,35,6,1,6701,E,150,D
20232,05118884,35,7,1,534,E,160,D
20232,05118884,35,8,1,259,E,170,D
20232,05118884,35,9,1,403,E,180,D
20232,05118884,35,10,1,1012,E,190,D
20232,05118884,35,11,1,996,E,210,D
20232,05118884,35,12,1,1222,E,220,D
20232,05121434,34,0,1,,H,,A
