QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,WHATPART,WHAT_ART,TRIPIDBC,TRIP_DBC,NUMSAME,NUMSAME_,EOTRIPMO,EOTR_PMO,NUMNIGHT,NUMN_GHT,FOODDEAL,FOOD_EAL,LODGDEAL,LODG_EAL,TRANDEAL,TRAN_EAL,ELSEDEAL,ELSE_EAL,CMLOCALY,CMLO_ALY,CMPLANEY,CMPL_NEY,CMTRAINY,CMTR_INY,CMBUSY,CMBUSY_,CMSHIPY,CMSHIPY_,RTCARY,RTCARY_,RTMOPEDY,RTMO_EDY,RTBOATY,RTBOATY_,RTCAMPY,RTCAMPY_,RTOTHERY,RTOT_ERY,PVCARY,PVCARY_,PVELSEY,PVELSEY_,PVTRANSY,PVTR_NSY,CMLOCALX,CMLO_ALX,CMPLANEX,CMPL_NEX,CMTRAINX,CMTR_INX,CMBUSX,CMBUSX_,CMSHIPX,CMSHIPX_,RTCARX,RTCARX_,RTMOPEDX,RTMO_EDX,RTBOATX,RTBOATX_,RTCAMPX,RTCAMPX_,RTOTHERX,RTOT_ERX,GASOILX,GASOILX_,TRPTOLLX,TRPT_LLX,PARKINGX,PARK_NGX,LDGCOSTX,LDGC_STX,TRPALCHX,TRPA_CHX,TRPALCGX,TRPA_CGX,TRPSPRTX,TRPS_RTX,TRPETRTX,TRPE_RTX,TRPGFTCX,TRPG_TCX,QTRFLAX,QTRFLAX_,QTRGLAX,QTRGLAX_
20232,05090604,36,0,1,1,D,1,D,1,D,03,D,6,D,2,D,1,D,1,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,117,G,819,G,60,G,24,G,,A,,A,,A,,A,,A,,A,120,D,,A,,A,670,G,6,D,,A,,A,310,G,,A,194,D,,A
20232,05090634,35,0,1,1,D,1,D,1,D,03,D,6,D,,A,,A,,A,,A,,A,02,D,,A,,A,,A,06,D,,A,,A,,A,,A,,A,16,D,,A,,A,12,D,,A,,A,,A,285,D,,A,,A,,A,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,25,D,35,D
20232,05090674,25,0,1,1,D,1,D,1,D,01,D,13,D,,A,,A,,A,,A,,A,02,D,,A,,A,,A,,A,,A,,A,,A,,A,13,D,16,D,,A,,A,200,D,,A,,A,,A,,A,,A,,A,,A,,A,1500,D,500,D,,A,100,D,,A,,A,,A,300,D,,A,200,D,200,D
20232,05090764,40,0,1,1,D,1,D,1,D,02,D,4,D,1,D,1,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,100,D,16,D,,A,627,G,74,G,,A,,A,,A,,A,242,G,,A
20232,05090824,32,0,1,2,D,1,D,1,D,03,D,0,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,16,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05090844,41,0,1,1,D,1,D,1,D,03,D,3,D,,A,,A,,A,,A,,A,02,D,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,950,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1200,D,,A,,A,,A,500,D,450,D,,A,,A
20232,05091174,32,0,1,1,D,1,D,1,D,03,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,16,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,50,D,6,D,,A,235,D,25,D,,A,,A,55,D,,A,100,D,,A
20232,05091304,43,0,1,1,D,1,D,1,D,02,D,9,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,408,D,38,D,,A,,A,,A,70,D,,A,,A,,A,,A,930,D,,A
20232,05091364,22,0,1,1,D,2,D,1,D,03,D,0,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,20,D,8,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091464,32,0,2,1,D,1,D,1,D,01,D,4,D,,A,,A,,A,,A,,A,02,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091464,33,0,1,1,D,2,D,1,D,03,D,5,D,,A,,A,,A,,A,,A,02,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091624,25,0,1,1,D,1,D,1,D,02,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,16,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,45,D,,A,,A,459,D,100,D,,A,,A,100,D,,A,150,D,30,D
20232,05091734,34,0,1,1,D,3,D,1,D,02,D,5,D,,A,,A,,A,,A,,A,02,D,,A,,A,,A,06,D,,A,,A,,A,,A,,A,,A,,A,52,G,233,G,10,G,10,G,2402,G,60,F,,A,,A,,A,,A,24,G,4,G,,A,300,G,42,G,16,G,140,G,137,G,,A,92,G,38,G
20232,05091734,35,0,1,1,D,4,D,1,D,01,D,7,D,,A,,A,,A,,A,,A,02,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,44,G,199,G,9,G,9,G,2059,G,,A,,A,,A,,A,,A,20,G,3,G,,A,257,G,36,G,21,G,120,G,118,G,,A,73,G,32,G
20232,05091814,23,0,1,1,D,1,D,1,D,02,D,0,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,70,D,,A,,A,,A,10,D,,A,20,D,5,D,,A,40,D,,A
20232,05091814,24,0,1,1,D,2,D,1,D,03,D,0,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,50,D,,A,15,D,,A,,A,,A,,A,,A,,A,30,D,,A
20232,05091814,25,0,1,1,D,3,D,1,D,02,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,70,D,,A,,A,900,D,30,D,,A,120,D,,A,,A,270,D,200,D
20232,05091874,62,0,1,1,D,1,D,1,D,03,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,16,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,90,D,,A,,A,900,D,,A,,A,,A,,A,,A,180,D,15,D
20232,05091874,63,0,1,1,D,2,D,1,D,02,D,3,D,,A,,A,,A,,A,,A,02,D,,A,,A,,A,,A,,A,,A,,A,,A,13,D,16,D,,A,,A,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,60,D,,A,,A,,A,,A,,A,,A,200,D,,A
20232,05091964,24,0,1,1,D,1,D,1,D,02,D,0,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,100,D,,A,,A,,A,,A,,A,,A,,A,50,D,100,D,,A
20232,05091964,25,0,1,1,D,2,D,1,D,01,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,100,D,,A,,A,348,D,,A,,A,,A,,A,75,D,200,D,,A
