QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,TELBSNZ,TELBSNZ_,TELRESD,TELRESD_,TELCELL,TELCELL_,TINTNET,TINTNET_,TCABLE,TCABLE_,BILPERD,BILPERD_,QADINE1X,QADI_E1X,QADINE2X,QADI_E2X,QADINE3X,QADI_E3X,QADCAB1X,QADC_B1X,QADCAB2X,QADC_B2X,QADCAB3X,QADC_B3X,TELRES1X,TELR_S1X,TELRES2X,TELR_S2X,TELRES3X,TELR_S3X,TELCEL1X,TELC_L1X,TELCEL2X,TELC_L2X,TELCEL3X,TELC_L3X,TELBLPRS,TELB_PRS,TPHONE,TPHONE_,TELPURCH
20232,05090604,37,0,1,,A,1,D,,A,1,D,1,D,,A,54,E,55,E,56,E,91,E,89,E,89,E,46,E,47,E,46,E,,A,,A,,A,2,D,1,D,
20232,05090604,38,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,88,D,88,D,88,D,,A,1,D,
20232,05090624,16,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,26,D,26,D,26,D,,A,1,D,4
20232,05090634,36,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,90,D,90,D,90,D,,A,1,D,
20232,05090634,37,0,1,,A,,A,,A,1,D,2,D,,A,89,D,89,D,89,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05090664,25,0,1,,A,,A,2,D,1,D,2,D,,A,115,E,114,E,114,E,,A,,A,,A,,A,,A,,A,185,E,186,E,186,E,2,D,1,D,
20232,05090674,26,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,250,D,250,D,180,D,,A,1,D,
20232,05090674,27,0,1,,A,,A,,A,1,D,2,D,,A,95,D,95,D,95,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05090694,23,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,95,D,95,D,95,D,,A,1,D,
20232,05090694,24,0,1,,A,,A,,A,1,D,1,D,,A,67,E,66,E,66,E,123,E,124,E,124,E,,A,,A,,A,,A,,A,,A,2,D,2,D,
20232,05090694,25,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,45,D,45,D,45,D,,A,1,D,
20232,05090704,20,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,180,D,180,D,180,D,,A,1,D,
20232,05090724,16,0,1,,A,,A,,A,1,D,2,D,,A,80,D,80,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,4
20232,05090724,17,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,270,D,270,D,270,D,,A,1,D,1
20232,05090724,18,0,1,,A,,A,2,F,2,D,2,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,0,D,0,D,0,D,,A,1,D,1
20232,05090764,41,0,1,,A,1,D,,A,1,D,1,D,,A,64,E,67,E,65,E,84,E,88,E,90,E,54,E,57,E,57,E,,A,,A,,A,2,D,1,D,
20232,05090764,42,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,121,D,122,D,186,D,,A,1,D,
20232,05090784,58,0,1,,A,,A,,A,1,D,1,D,,A,59,D,59,D,59,D,177,D,177,D,177,D,,A,,A,,A,,A,,A,,A,1,D,2,D,
20232,05090784,59,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,87,D,87,D,87,D,,A,1,D,
20232,05090824,33,0,1,,A,1,D,,A,1,D,1,D,,A,90,D,90,D,90,D,180,D,180,D,180,D,20,D,20,D,20,D,,A,,A,,A,1,D,1,D,
20232,05090834,12,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,50,D,50,D,50,D,,A,1,D,
20232,05090834,13,0,1,,A,,A,,A,1,D,2,D,,A,70,D,70,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05090844,42,0,1,,A,,A,,A,1,D,1,D,,A,91,E,96,E,91,E,148,E,143,E,148,E,,A,,A,,A,,A,,A,,A,2,D,2,D,
20232,05090844,43,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,129,D,129,D,129,D,,A,1,D,
20232,05090854,15,0,1,,A,1,D,,A,2,D,1,D,,A,,A,,A,,A,105,E,117,E,104,E,55,E,63,E,76,E,,A,,A,,A,2,D,1,D,
20232,05090904,45,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,162,D,162,D,162,D,,A,1,D,
20232,05090904,46,0,1,,A,,A,,A,1,D,1,D,,A,26,E,25,E,25,E,49,E,50,E,50,E,,A,,A,,A,,A,,A,,A,2,D,2,D,
20232,05090914,29,0,1,,A,,A,,A,1,D,2,D,,A,75,D,75,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05090914,30,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,80,D,80,D,80,D,,A,1,D,
20232,05091034,11,0,1,,A,,A,,A,1,D,1,D,,A,25,E,24,E,25,E,46,E,47,E,46,E,,A,,A,,A,,A,,A,,A,2,D,2,D,
20232,05091064,26,0,1,,A,1,D,,A,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,30,D,30,D,30,D,,A,,A,,A,,A,1,D,
20232,05091094,18,0,1,,A,,A,,A,1,D,2,D,,A,80,D,80,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05091114,37,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,210,D,210,D,210,D,,A,1,D,
20232,05091114,38,0,1,,A,,A,,A,1,D,2,D,,A,110,D,110,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05091124,23,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,150,D,150,D,150,D,,A,1,D,
20232,05091124,24,0,1,,A,,A,,A,1,D,2,D,,A,30,D,30,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05091174,33,0,1,,A,1,D,,A,1,D,2,D,,A,30,E,30,E,30,E,,A,,A,,A,60,E,60,E,60,E,,A,,A,,A,2,D,1,D,
20232,05091174,34,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,116,D,116,D,116,D,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05091174,35,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,42,D,42,D,42,D,,A,1,D,
20232,05091214,33,0,1,,A,,A,,A,1,D,1,D,,A,55,D,55,D,55,D,75,D,75,D,75,D,,A,,A,,A,,A,,A,,A,1,D,2,D,
20232,05091214,34,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,50,D,50,D,50,D,,A,1,D,
20232,05091294,39,0,1,,A,,A,,A,1,D,2,D,,A,85,D,85,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05091294,40,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,145,D,145,D,145,D,,A,1,D,
20232,05091304,44,0,1,,A,1,D,2,D,1,D,1,D,,A,100,D,100,D,100,D,147,D,147,D,147,D,,A,,A,,A,,A,,A,,A,1,D,1,D,
20232,05091304,45,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,39,D,39,D,39,D,,A,1,D,
20232,05091304,46,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,55,D,55,D,55,D,,A,1,D,3
20232,05091324,28,0,1,,A,,A,,A,1,D,1,D,,A,97,E,96,E,96,E,168,E,169,E,169,E,,A,,A,,A,,A,,A,,A,2,D,2,D,1
20232,05091324,29,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,150,D,150,D,150,D,,A,1,D,1
20232,05091364,23,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,256,D,256,D,256,D,,A,1,D,
20232,05091404,21,0,1,,A,1,D,2,D,1,D,1,D,,A,43,E,45,E,45,E,73,E,71,E,71,E,35,E,35,E,35,E,47,E,47,E,47,E,2,D,1,D,
20232,05091454,14,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,54,D,51,D,50,D,,A,1,D,
20232,05091464,34,0,1,,A,1,D,,A,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,75,D,75,D,75,D,,A,,A,,A,,A,1,D,
20232,05091464,35,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,266,D,266,D,266,D,,A,1,D,
20232,05091464,36,0,1,,A,,A,,A,1,D,2,D,,A,120,D,120,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,3
20232,05091484,20,0,1,,A,,A,,A,1,D,1,D,,A,103,E,105,E,106,E,184,E,182,E,181,E,,A,,A,,A,,A,,A,,A,2,D,2,D,
20232,05091484,21,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,200,D,200,D,200,D,,A,1,D,
20232,05091504,23,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,100,D,100,D,100,D,,A,1,D,
20232,05091504,24,0,1,,A,,A,,A,1,D,2,D,,A,125,D,125,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05091544,35,0,1,,A,1,D,,A,1,D,1,D,,A,105,E,107,E,106,E,156,E,153,E,154,E,39,E,40,E,40,E,,A,,A,,A,2,D,1,D,
20232,05091544,36,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,180,D,180,D,180,D,,A,1,D,
20232,05091584,28,0,1,0.30,D,,A,,A,1,D,2,D,,A,20,D,20,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05091584,29,0,1,0.30,D,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,91,D,91,D,91,D,,A,1,D,
20232,05091624,26,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,115,D,115,D,115,D,,A,1,D,2
20232,05091624,27,0,1,,A,,A,,A,1,D,1,D,,A,40,E,40,E,41,E,59,E,59,E,58,E,,A,,A,,A,,A,,A,,A,2,D,2,D,1
20232,05091654,24,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,33,D,33,D,33,D,,A,1,D,
20232,05091654,25,0,1,,A,,A,,A,1,D,2,D,,A,74,D,74,D,74,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05091684,15,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,220,D,220,D,220,D,,A,1,D,
20232,05091684,16,0,1,,A,,A,,A,1,D,1,D,,A,81,E,82,E,82,E,119,E,118,E,118,E,,A,,A,,A,,A,,A,,A,2,D,2,D,
20232,05091734,36,0,1,,A,,A,,A,1,D,1,D,,A,55,E,56,E,56,E,87,E,86,E,86,E,,A,,A,,A,,A,,A,,A,2,D,2,D,
20232,05091734,37,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,77,D,77,D,77,D,,A,1,D,
20232,05091764,20,0,1,,A,1,D,,A,1,D,2,D,,A,48,E,50,E,50,E,,A,,A,,A,77,E,80,E,80,E,,A,,A,,A,2,D,1,D,
20232,05091764,21,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,11,D,11,D,11,D,,A,1,D,2
20232,05091814,26,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,90,D,90,D,90,D,,A,1,D,1
