QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,FONPURCH,INTAWAY,INTAWAY_,INTAWYX,INTAWYX_,PRPYCELL,PRPY_ELL,PRPYCLX,PRPYCLX_
20232,05090604,41,0,1,,2,D,,A,2,D,,A
20232,05090624,19,0,1,,2,D,,A,2,D,,A
20232,05090634,39,0,1,,2,D,,A,2,D,,A
20232,05090664,28,0,1,,2,D,,A,2,D,,A
20232,05090674,32,0,1,,2,D,,A,2,D,,A
20232,05090694,29,0,1,,2,D,,A,2,D,,A
20232,05090704,22,0,1,,2,D,,A,2,D,,A
20232,05090724,21,0,1,,2,D,,A,2,D,,A
20232,05090764,47,0,1,,2,D,,A,2,D,,A
20232,05090784,63,0,1,,2,D,,A,2,D,,A
20232,05090824,37,0,1,,2,D,,A,2,D,,A
20232,05090834,14,0,1,,2,D,,A,2,D,,A
20232,05090844,47,0,1,,2,D,,A,2,D,,A
20232,05090854,16,0,1,,2,D,,A,2,D,,A
20232,05090904,50,0,1,,2,D,,A,2,D,,A
20232,05090914,34,0,1,,2,D,,A,2,D,,A
20232,05091034,13,0,1,,2,D,,A,2,D,,A
20232,05091064,30,0,1,,2,D,,A,2,D,,A
20232,05091094,20,0,1,,2,D,,A,2,D,,A
20232,05091114,42,0,1,,2,D,,A,2,D,,A
20232,05091124,26,0,1,,2,D,,A,2,D,,A
20232,05091174,38,0,1,,2,D,,A,2,D,,A
20232,05091214,39,0,1,,2,D,,A,2,D,,A
20232,05091294,42,0,1,,2,D,,A,2,D,,A
20232,05091304,48,0,1,,2,D,,A,2,D,,A
20232,05091324,32,0,1,,2,D,,A,2,D,,A
20232,05091364,26,0,1,,2,D,,A,2,D,,A
20232,05091404,24,0,1,,2,D,,A,2,D,,A
20232,05091454,16,0,1,,2,D,,A,2,D,,A
20232,05091464,40,0,1,,2,D,,A,2,D,,A
20232,05091484,26,0,1,,2,D,,A,2,D,,A
20232,05091504,28,0,1,,2,D,,A,2,D,,A
20232,05091544,40,0,1,,2,D,,A,2,D,,A
20232,05091584,31,0,1,,2,D,,A,2,D,,A
20232,05091624,30,0,1,,2,D,,A,2,D,,A
20232,05091654,30,0,1,,2,D,,A,2,D,,A
20232,05091684,19,0,1,,2,D,,A,2,D,,A
20232,05091734,39,0,1,,2,D,,A,2,D,,A
20232,05091764,25,0,1,,2,D,,A,2,D,,A
20232,05091784,16,0,1,,2,D,,A,2,D,,A
20232,05091814,29,0,1,,2,D,,A,2,D,,A
20232,05091844,49,0,1,,2,D,,A,2,D,,A
20232,05091874,73,0,1,,2,D,,A,2,D,,A
20232,05091894,31,0,1,,2,D,,A,2,D,,A
20232,05091924,28,0,1,,2,D,,A,2,D,,A
20232,05091954,12,0,1,,2,D,,A,2,D,,A
20232,05091964,30,0,1,,2,D,,A,2,D,,A
20232,05091974,13,0,1,,2,D,,A,2,D,,A
20232,05092144,41,0,1,,2,D,,A,2,D,,A
20232,05092164,56,0,1,,2,D,,A,2,D,,A
20232,05092234,31,0,1,,2,D,,A,2,D,,A
20232,05092244,37,0,1,,2,D,,A,2,D,,A
20232,05092264,35,0,1,,2,D,,A,2,D,,A
20232,05092274,49,0,1,,2,D,,A,2,D,,A
20232,05092284,24,0,1,,2,D,,A,2,D,,A
20232,05092324,22,0,1,,2,D,,A,2,D,,A
20232,05092394,20,0,1,,2,D,,A,2,D,,A
20232,05092404,68,0,1,,2,D,,A,2,D,,A
20232,05092424,40,0,1,,2,D,,A,2,D,,A
20232,05092454,24,0,1,,2,D,,A,2,D,,A
20232,05092504,16,0,1,,2,D,,A,2,D,,A
20232,05092614,23,0,1,,2,D,,A,2,D,,A
20232,05092704,9,0,1,,2,D,,A,2,D,,A
20232,05092734,22,0,1,,2,D,,A,2,D,,A
20232,05092754,28,0,1,,2,D,,A,2,D,,A
20232,05092764,30,0,1,,2,D,,A,2,D,,A
20232,05092784,36,0,1,,2,D,,A,2,D,,A
20232,05092804,34,0,1,,2,D,,A,2,D,,A
20232,05092904,13,0,1,,2,D,,A,2,D,,A
20232,05092944,12,0,1,,2,D,,A,2,D,,A
