QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,JGASOXQV,JGAS_XQV,JDIESXQV,JDIE_XQV,JELEXQV,JELEXQV_,JETHXQV,JETHXQV_,QADELEX,QADELEX_,QADETHX,QADETHX_,QELEDDZ,QELEDDZ_,VOPELBPR,VOPELBS,VOPELBS_,VOPELEC,VOPELECX,VOPELEC_,VOPETH,VOPETHX,VOPETHX_,VOPETH_,VOPE_BPR,VOPE_ECX,CHGPURCH
20232,05090604,42,0,1,642,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05090624,20,0,1,60,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05090634,40,0,1,240,D,,A,,A,,A,,A,,A,1,D,,,A,2,,D,,,A,A,A,A,
20232,05090664,29,0,1,150,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05090674,33,0,1,2400,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05090694,30,0,1,600,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05090704,23,0,1,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05090724,22,0,1,300,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05090764,48,0,1,219,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05090784,64,0,1,96,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05090824,38,0,1,300,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05090834,15,0,1,600,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05090844,48,0,1,240,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05090854,17,0,1,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05090904,51,0,1,426,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05090914,35,0,1,390,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05091034,14,0,1,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05091064,31,0,1,480,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05091094,21,0,1,150,D,,A,,A,,A,,A,,A,1,D,,,A,2,,D,,,A,A,A,A,
20232,05091114,43,0,1,600,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05091124,27,0,1,1260,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05091174,39,0,1,480,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05091214,40,0,1,132,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05091294,43,0,1,1080,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05091304,49,0,1,1410,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05091324,33,0,1,1500,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05091364,27,0,1,525,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05091404,25,0,1,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05091454,17,0,1,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05091464,41,0,1,1500,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05091484,27,0,1,360,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05091504,29,0,1,2400,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05091544,41,0,1,300,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05091584,32,0,1,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05091624,31,0,1,525,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05091654,31,0,1,60,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05091684,20,0,1,1200,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05091734,40,0,1,150,D,450,D,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05091764,26,0,1,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05091784,17,0,1,1800,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05091814,30,0,1,840,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05091844,50,0,1,960,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05091874,74,0,1,480,D,1140,D,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05091894,32,0,1,1200,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05091924,29,0,1,450,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05091954,13,0,1,285,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05091964,31,0,1,600,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05091974,14,0,1,60,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05092144,42,0,1,675,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05092164,57,0,1,1680,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05092234,32,0,1,900,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05092244,38,0,1,3150,D,,A,135,D,,A,45,D,,A,1,D,,2,D,1,45,D,,,A,A,A,D,
20232,05092264,36,0,1,600,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05092274,50,0,1,300,D,600,D,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05092284,25,0,1,600,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05092324,23,0,1,825,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05092394,21,0,1,750,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05092404,69,0,1,1284,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05092424,41,0,1,300,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05092454,25,0,1,300,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05092504,17,0,1,375,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05092614,24,0,1,405,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05092704,10,0,1,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05092734,23,0,1,510,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05092754,29,0,1,240,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05092764,31,0,1,150,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05092784,37,0,1,825,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05092804,35,0,1,600,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05092904,14,0,1,150,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05092944,13,0,1,150,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05092964,94,0,1,909,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05093004,47,0,1,1800,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05093064,24,0,1,420,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05093114,29,0,1,750,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05093204,75,0,1,600,D,900,D,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05093224,28,0,1,90,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05093244,28,0,1,720,D,,A,,A,,A,,A,,A,1,D,,,A,2,,D,,,A,A,A,A,
20232,05093284,29,0,1,225,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05093344,14,0,1,450,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05093354,28,0,1,900,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05093364,47,0,1,840,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05093374,15,0,1,600,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05093414,40,0,1,600,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05093494,26,0,1,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05093534,41,0,1,900,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05093664,34,0,1,258,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05093674,43,0,1,1920,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05093694,30,0,1,300,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05093704,20,0,1,300,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05093714,22,0,1,150,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05093784,10,0,1,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05093794,23,0,1,300,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05093804,32,0,1,1500,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05093824,14,0,1,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05093834,40,0,1,1800,D,900,D,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05093884,84,0,1,600,D,,A,,A,,A,,A,,A,1,D,,,A,2,,D,,,A,A,A,A,
20232,05093894,8,0,1,180,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05093904,52,0,1,1440,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05093944,27,0,1,240,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05093964,40,0,1,1350,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05094044,43,0,1,435,D,15,D,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05094064,43,0,1,300,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05094104,67,0,1,450,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20232,05094134,43,0,1,195,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
