QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VQBCODE,VQBCODE_,VQBLABOR,VQBL_BOR,VQBMO,VQBMO_,VQBEXPX,VQBEXPX_,VQBPURCH
20232,05090604,43,0,1,190,D,1,D,03,D,1200,D,2
20232,05090634,41,0,1,367,D,2,D,13,D,20,D,
20232,05090634,42,0,2,190,D,1,D,01,D,72,D,2
20232,05090634,43,0,2,140,D,,A,01,D,524,D,
20232,05090674,34,0,1,420,D,,A,03,D,530,D,
20232,05090674,35,0,1,367,D,1,D,13,D,30,D,
20232,05090674,36,0,1,190,D,1,D,02,D,150,D,
20232,05090674,37,0,1,280,D,,A,02,D,120,D,
20232,05090694,31,0,1,420,D,,A,01,D,30,D,
20232,05090694,32,0,1,190,D,1,D,02,D,65,D,
20232,05090694,33,0,2,190,D,1,D,01,D,104,D,
20232,05090724,23,0,1,190,D,1,D,02,D,390,D,
20232,05090724,24,0,1,420,D,,A,02,D,45,D,
20232,05090724,25,0,1,190,D,1,D,01,D,60,D,
20232,05090724,26,0,1,250,D,,A,03,D,15,D,
20232,05090764,49,0,1,190,D,1,D,02,D,107,D,
20232,05090764,50,0,1,420,D,,A,01,D,325,D,
20232,05090764,51,0,1,250,D,,A,02,D,16,D,
20232,05090764,52,0,1,260,D,,A,01,D,12,D,
20232,05090784,65,0,1,367,D,2,D,13,D,10,D,
20232,05090784,66,0,1,420,D,,A,02,D,64,D,
20232,05090824,39,0,1,400,D,,A,02,D,24,D,
20232,05090824,40,0,1,190,D,1,D,02,D,90,D,
20232,05090824,41,0,1,190,D,1,D,01,D,1100,D,
20232,05090834,16,0,1,190,D,1,D,03,D,450,D,
20232,05090844,49,0,1,410,D,,A,01,D,151,D,
20232,05090844,50,0,1,410,D,,A,03,D,51,D,
20232,05090844,51,0,1,410,D,,A,01,D,151,D,
20232,05090844,52,0,1,367,D,2,D,01,D,11,D,
20232,05090844,53,0,1,190,D,2,D,03,D,69,D,
20232,05090844,54,0,2,190,D,1,D,01,D,240,D,
20232,05090904,52,0,1,190,D,1,D,03,D,36,D,
20232,05090904,53,0,1,190,D,1,D,03,D,8,D,
20232,05090914,36,0,1,140,D,,A,02,D,125,D,
20232,05090914,37,0,1,190,D,1,D,01,D,480,D,
20232,05090914,38,0,1,260,D,,A,03,D,11,D,
20232,05091094,22,0,1,420,D,,A,02,D,300,D,
20232,05091114,44,0,1,420,D,,A,03,D,56,D,
20232,05091114,45,0,1,210,D,,A,03,D,123,D,
20232,05091114,46,0,1,367,D,1,D,13,D,29,D,
20232,05091124,28,0,1,190,D,1,D,01,D,60,D,
20232,05091124,29,0,1,190,D,1,D,02,D,60,D,
20232,05091124,30,0,1,190,D,1,D,03,D,60,D,
20232,05091124,31,0,1,400,D,,A,02,D,50,D,
20232,05091124,32,0,1,420,D,,A,03,D,40,D,
20232,05091124,33,0,1,367,D,1,D,13,D,45,D,
20232,05091124,34,0,1,250,D,,A,13,D,400,D,
20232,05091124,35,0,2,140,D,,A,01,D,160,D,
20232,05091214,41,0,1,210,D,,A,03,D,107,D,
20232,05091294,44,0,1,400,D,,A,03,D,11,D,
20232,05091294,45,0,2,190,D,2,D,01,D,200,D,
20232,05091304,50,0,1,420,D,,A,03,D,469,D,
20232,05091304,51,0,1,420,D,,A,01,D,280,D,
20232,05091324,34,0,1,367,D,1,D,13,D,50,D,
20232,05091324,35,0,1,420,D,,A,03,D,135,D,
20232,05091364,28,0,1,190,D,1,D,03,D,100,D,2
20232,05091364,29,0,1,250,D,,A,03,D,8,D,
20232,05091364,30,0,2,400,D,,A,01,D,36,D,
