QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VTRCODE,VTRCODE_,VTRMO,VTRMO_,VTREXPX,VTREXPX_,VTRLIMO,VTRLIMO_,VTRPURCH
20232,05091034,15,0,1,100,D,01,D,30,D,,A,
20232,05091034,16,0,1,100,D,02,D,80,D,,A,
20232,05091034,17,0,1,100,D,03,D,30,D,,A,
20232,05091454,18,0,1,100,D,03,D,21,D,,A,
20232,05091584,33,0,1,100,D,01,D,160,D,,A,
20232,05091624,32,0,1,100,D,02,D,70,D,,A,
20232,05091784,18,0,1,100,D,03,D,150,D,,A,
20232,05091814,35,0,1,100,D,02,D,60,D,,A,
20232,05091844,52,0,1,100,D,13,D,20,F,2,D,
20232,05092244,40,0,1,100,D,03,D,30,D,,A,
20232,05092274,52,0,1,100,D,13,D,50,D,,A,
20232,05092284,29,0,1,100,D,13,D,50,D,,A,
20232,05092324,25,0,1,100,D,01,D,40,D,,A,
20232,05092454,26,0,1,100,D,03,D,20,D,,A,
20232,05092804,37,0,1,100,D,02,D,200,D,,A,
20232,05093204,82,0,1,110,D,03,D,20,D,,A,
20232,05093494,27,0,1,100,D,02,D,80,D,,A,
20232,05093494,28,0,1,100,D,03,D,80,D,,A,
20232,05093794,25,0,1,100,D,13,D,40,D,,A,
20232,05094104,73,0,1,100,D,02,D,210,D,,A,
20232,05094164,58,0,1,100,D,02,D,180,D,,A,
20232,05094164,59,0,1,100,D,03,D,17,D,,A,
20232,05094494,44,0,1,100,D,03,D,160,D,2,D,1
20232,05094544,32,0,1,100,D,01,D,80,D,,A,
20232,05094544,33,0,1,100,D,02,D,100,D,,A,
20232,05095264,20,0,1,100,D,02,D,20,D,2,D,2
20232,05095274,22,0,1,100,D,13,D,45,D,,A,
20232,05095324,30,0,1,100,D,13,D,24,D,,A,
20232,05095354,29,0,1,100,D,13,D,200,D,,A,
20232,05095564,83,0,1,100,D,02,D,260,D,,A,
20232,05095674,32,0,1,100,D,13,D,300,D,,A,
20232,05096144,56,0,1,100,D,02,D,46,D,,A,
20232,05096274,42,0,1,100,D,13,D,200,D,1,D,
20232,05096684,48,0,1,100,D,03,D,25,D,,A,
20232,05097354,31,0,1,100,D,03,D,1,D,,A,
20232,05097374,13,0,1,100,D,03,D,80,D,,A,
20232,05097584,49,0,1,100,D,02,D,60,D,2,D,1
20232,05097584,50,0,1,100,D,03,D,85,D,2,D,1
20232,05097694,28,0,1,100,D,03,D,100,D,,A,
20232,05097794,26,0,1,100,D,01,D,120,D,,A,
20232,05097794,27,0,1,100,D,03,D,100,D,,A,
20232,05097944,16,0,1,100,D,13,D,30,D,,A,
20232,05098114,15,0,1,100,D,01,D,400,D,,A,
20232,05098614,22,0,1,100,D,13,D,25,D,,A,
20232,05098814,31,0,1,100,D,01,D,150,D,,A,
20232,05099144,44,0,1,100,D,13,D,25,D,,A,
20232,05099264,46,0,1,100,D,03,D,193,D,,A,
20232,05099374,42,0,1,100,D,01,D,50,D,,A,
20232,05099904,55,0,1,100,D,03,D,90,D,,A,
20232,05099944,67,0,1,100,D,01,D,25,D,,A,
20232,05099944,68,0,1,100,D,03,D,60,D,,A,
