QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,OTHLNDRX,OTHL_DRX,OTHDCLNX,OTHD_LNX,SAFDPSTX,SAFD_STX,JLDRYNET,JLDR_NET,JDRYCNET,JDRY_NET,JBNKSCQV,JBNK_CQV,SALONX,SALONX_,WIGSX,WIGSX_,JMLPAYQV,JMLP_YQV
20232,05090604,44,0,1,,A,,A,,A,,A,,A,,A,250,D,,A,,A
20232,05090624,21,0,1,,A,,A,,A,,A,,A,,A,125,D,,A,,A
20232,05090634,44,0,1,,A,,A,,A,,A,,A,,A,175,D,,A,,A
20232,05090664,30,0,1,,A,,A,,A,,A,,A,,A,20,D,,A,,A
20232,05090674,38,0,1,,A,,A,,A,,A,,A,,A,400,D,,A,586,F
20232,05090694,34,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05090704,24,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05090724,27,0,1,,A,,A,,A,,A,,A,,A,80,D,,A,,A
20232,05090764,53,0,1,,A,,A,,A,,A,,A,,A,180,D,,A,,A
20232,05090784,67,0,1,,A,,A,,A,,A,,A,,A,544,D,,A,,A
20232,05090824,42,0,1,,A,,A,,A,,A,,A,,A,100,D,,A,,A
20232,05090834,17,0,1,,A,,A,,A,,A,,A,,A,80,D,,A,,A
20232,05090844,55,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05090854,18,0,1,,A,,A,50,D,,A,,A,,A,14,D,,A,,A
20232,05090904,54,0,1,,A,,A,,A,,A,,A,27,D,241,D,,A,,A
20232,05090914,39,0,1,,A,,A,,A,,A,,A,,A,108,D,,A,,A
20232,05091034,18,0,1,,A,,A,,A,50,D,,A,,A,500,D,,A,,A
20232,05091064,32,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091094,23,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091114,47,0,1,,A,,A,,A,,A,,A,,A,150,D,25,D,,A
20232,05091124,36,0,1,,A,,A,,A,,A,,A,,A,240,D,,A,,A
20232,05091174,40,0,1,,A,,A,,A,,A,,A,21,D,132,D,,A,,A
20232,05091214,42,0,1,,A,,A,,A,,A,,A,,A,86,D,,A,,A
20232,05091294,46,0,1,,A,,A,,A,,A,40,D,,A,34,D,,A,,A
20232,05091304,52,0,1,,A,,A,,A,,A,,A,,A,270,D,,A,,A
20232,05091324,36,0,1,,A,,A,,A,,A,50,D,,A,530,D,,A,,A
20232,05091364,31,0,1,,A,,A,,A,,A,,A,210,D,,A,,A,,A
20232,05091404,26,0,1,,A,,A,,A,,A,,A,,A,60,D,,A,,A
20232,05091454,19,0,1,,A,,A,,A,25,D,,A,,A,,A,,A,,A
20232,05091464,44,0,1,,A,,A,,A,,A,,A,,A,300,D,,A,,A
20232,05091484,29,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091504,31,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091544,42,0,1,,A,,A,,A,,A,,A,,A,50,D,,A,,A
20232,05091584,34,0,1,,A,,A,,A,120,D,,A,,A,,A,,A,,A
20232,05091624,33,0,1,,A,,A,,A,,A,400,D,,A,250,D,,A,,A
20232,05091654,32,0,1,,A,,A,,A,,A,,A,,A,25,D,,A,,A
20232,05091684,22,0,1,,A,,A,,A,,A,,A,,A,400,D,,A,,A
20232,05091734,44,0,1,,A,,A,,A,,A,30,D,,A,350,D,,A,,A
20232,05091764,27,0,1,,A,,A,16,D,,A,,A,,A,170,D,,A,,A
20232,05091784,19,0,1,,A,,A,,A,,A,30,D,,A,600,D,,A,,A
20232,05091814,36,0,1,,A,,A,,A,,A,,A,15,D,100,D,,A,,A
20232,05091844,53,0,1,,A,,A,,A,,A,,A,,A,315,D,,A,,A
20232,05091874,76,0,1,,A,,A,40,D,,A,,A,105,D,450,D,,A,,A
20232,05091894,34,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091924,30,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05091954,14,0,1,,A,,A,,A,40,D,,A,,A,,A,,A,,A
20232,05091964,34,0,1,15,D,,A,,A,225,D,,A,,A,40,D,,A,,A
20232,05091974,16,0,1,,A,,A,,A,7,D,,A,,A,17,D,,A,,A
20232,05092144,44,0,1,,A,,A,,A,,A,15,D,,A,160,D,,A,,A
20232,05092164,61,0,1,,A,,A,,A,,A,,A,,A,150,D,,A,,A
20232,05092234,37,0,1,,A,,A,,A,160,D,,A,,A,,A,,A,,A
20232,05092244,41,0,1,,A,,A,,A,,A,,A,,A,200,D,,A,,A
20232,05092264,39,0,1,,A,,A,,A,,A,,A,12,D,,A,,A,,A
20232,05092274,53,0,1,,A,,A,,A,,A,300,D,,A,200,D,,A,,A
20232,05092284,30,0,1,,A,,A,,A,,A,,A,135,D,150,D,,A,,A
