NEWID,TAX_UNIT,AGE_TP,AGE_SP,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND13,DEPU_D13,DEPUND17,DEPU_D17,DEPUND18,DEPU_D18,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC
05201374,1,23,0,2023,2022,0,.00000,.00000,1,.12000,.12000,49,D,.08000,.08000,26797,D,0,D,0,D,0,D,0,D,0,D,0,D,1100,D,3476,D,0,D,0,D,0,D,0,D,3476,D,1402,860,1456,1348,864,857,1456,1348,2050,2050,0,0,0,0,0,0,0,0,0,0,0,0,26797,26797,13847,12947,0,0,2000,1868,0,0,24797,23158,28,26,0,0,0
05201414,1,79,78,2023,2022,3,.00000,.00000,2,.00000,.00000,44,D,.00000,.00000,0,D,0,D,0,D,2200,D,23638,D,0,D,0,D,50,D,0,D,0,D,0,D,0,D,0,D,9600,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6300,6300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05201464,1,65,0,2023,2022,0,.00000,.00000,1,.22000,.22000,14,D,.04950,.04950,90490,D,0,D,0,D,0,D,0,D,0,D,18000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,12192,4256,12291,12093,4260,4253,12291,12093,6922,6922,18000,18000,0,0,0,0,0,0,0,0,0,0,90490,90490,75790,74890,0,0,3425,3265,0,0,87065,81242,0,0,0,0,0
05201464,2,81,56,2023,2022,0,.00000,.00000,2,-.0765,-.0765,14,D,-.0138,-.0138,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,-104,0,0,-100,-107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5850,5529,0,0,0,0,0,0,0,0,0
05201474,1,72,0,2023,2022,0,.00000,.00000,1,.00000,.00000,05,D,-.0647,-.0647,0,D,0,D,0,D,0,D,16547,D,0,D,3672,D,0,D,0,D,0,D,0,D,0,D,0,D,24,D,0,0,0,0,0,0,0,0,0,0,3672,3672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5202,5202,0,0,0,0,0,0,0
05201664,1,71,71,2023,2022,1,.00000,.00000,2,.24000,.24000,34,D,.04990,.04990,137425,D,17280,D,22000,D,0,D,58980,D,0,D,0,D,3100,D,7,D,0,D,0,D,0,D,0,D,14560,D,32832,7152,33048,32616,7197,7107,33548,33116,11835,11835,0,0,0,0,500,500,0,0,0,0,0,0,219854,219854,191154,189354,0,0,0,0,25500,25500,144221,133000,0,0,0,0,0
05201664,2,40,0,2023,2022,0,.00000,.00000,1,.12000,.12000,34,D,.04990,.04990,48000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,3947,1736,4001,3893,1759,1714,4001,3893,3672,3672,0,0,0,0,0,0,0,0,0,0,0,0,48000,48000,35050,34150,0,0,0,0,12750,12750,35250,32076,0,0,0,0,0
05201674,1,72,75,2023,2022,2,.00000,.00000,2,.00000,.00000,33,D,.00000,.00000,0,D,0,D,0,D,26000,D,32400,D,0,D,0,D,3000,D,5,D,0,D,0,D,0,D,0,D,240,D,0,0,0,0,0,0,547,367,0,0,0,0,0,0,547,367,0,0,0,0,0,0,34170,34170,5470,3670,0,0,2000,2000,16050,16050,0,0,0,0,0,0,0
05201694,1,33,33,2023,2022,1,.00000,.00000,2,.24000,.24000,34,D,.04990,.04990,120000,D,100000,D,18200,D,0,D,0,D,0,D,0,D,5000,D,0,D,7600,D,1,D,1,D,1,D,24416,D,32251,10209,32251,32251,10254,10164,34851,34851,16830,16830,0,0,0,0,2000,2000,0,0,600,600,0,0,206584,206584,196584,196584,0,0,0,0,25500,25500,205500,190227,0,0,0,0,0
05201724,1,34,0,2023,2022,0,.00000,.00000,1,.22000,.22000,11,D,.05750,.05750,70000,D,0,D,0,D,0,D,0,D,0,D,0,D,1800,D,0,D,0,D,0,D,0,D,0,D,5760,D,8025,3094,8124,7926,3125,3062,8124,7926,5355,5355,0,0,0,0,0,0,0,0,0,0,0,0,69800,69800,56850,55950,0,0,2700,2700,5400,5400,61700,57085,0,0,0,0,0
